station,AOS_utc,LOS_utc,duration_s,max_elev_deg,range_at_max_km,station_lat,station_lon,station_alt_m
AWS Ground Station – Stockholm,2027-09-14T16:00:31.363701Z,2027-09-14T16:09:15.121955Z,523,71.5,658.1,59.3293,18.0686,0.0
SSC Esrange (Kiruna) – KIR-2,2027-09-14T16:02:44.820954Z,2027-09-14T16:11:10.461462Z,505,67.5,642.3,67.858428,20.96688,386.0
SSC Esrange (Kiruna) – site,2027-09-14T16:02:45.142819Z,2027-09-14T16:11:10.570292Z,505,67.1,644.0,67.883,21.067,402.0
"Leaf Space – Unst (Shetland, UK)",2027-09-14T16:02:55.246003Z,2027-09-14T16:09:46.838258Z,411,23.9,1264.6,60.733,-0.85,0.0
KSAT Tromsø,2027-09-14T16:03:17.689011Z,2027-09-14T16:11:39.137629Z,501,69.5,626.5,69.6492,18.9553,0.0
KSAT Svalbard (Longyearbyen),2027-09-14T16:05:49.681588Z,2027-09-14T16:13:38.314291Z,468,52.2,684.1,78.2288,15.407,0.0
Leaf Space – Blönduós (Iceland),2027-09-14T16:06:30.740509Z,2027-09-14T16:11:14.523842Z,283,15.2,1556.3,65.633,-20.233,0.0
KSAT Inuvik,2027-09-14T16:15:07.830522Z,2027-09-14T16:21:12.021144Z,364,79.6,394.2,68.36,-133.723,0.0
RBC Signals – Deadhorse (AK),2027-09-14T16:15:19.520219Z,2027-09-14T16:20:38.383628Z,318,26.3,804.0,70.2,-148.5,0.0
SSC Space US North Pole (AK),2027-09-14T16:16:47.132941Z,2027-09-14T16:21:58.424232Z,311,29.5,687.4,64.7511,-147.3494,0.0
NASA NEN Fairbanks (ASF),2027-09-14T16:16:47.426522Z,2027-09-14T16:21:55.668825Z,308,28.3,709.7,64.858,-147.849,0.0
RBC Signals – Fairbanks (AK),2027-09-14T16:16:47.426522Z,2027-09-14T16:21:55.668825Z,308,28.3,709.7,64.858,-147.849,0.0
RBC Signals – Talkeetna (AK),2027-09-14T16:17:40.805955Z,2027-09-14T16:22:24.060262Z,283,23.9,777.2,62.32,-150.11,0.0
NASA NEN McMurdo,2027-09-14T16:52:26.259861Z,2027-09-14T16:57:03.066447Z,276,89.4,275.3,-77.846,166.686,0.0
SANSA Hartebeesthoek,2027-09-14T17:09:45.011057Z,2027-09-14T17:17:28.897135Z,463,33.1,1024.0,-25.8897,27.685,0.0
AWS Ground Station – Ireland,2027-09-14T17:31:45.516829Z,2027-09-14T17:40:23.716191Z,518,49.9,816.8,53.3331,-6.2489,0.0
"Leaf Space – Unst (Shetland, UK)",2027-09-14T17:33:20.484892Z,2027-09-14T17:42:05.620527Z,525,81.8,629.6,60.733,-0.85,0.0
AWS Ground Station – Stockholm,2027-09-14T17:33:27.949386Z,2027-09-14T17:40:37.030945Z,429,23.6,1321.6,59.3293,18.0686,0.0
Leaf Space – Blönduós (Iceland),2027-09-14T17:35:52.008633Z,2027-09-14T17:43:45.519281Z,473,40.7,864.7,65.633,-20.233,0.0
SSC Esrange (Kiruna) – KIR-2,2027-09-14T17:36:13.631006Z,2027-09-14T17:42:36.936591Z,383,20.3,1383.0,67.858428,20.96688,386.0
SSC Esrange (Kiruna) – site,2027-09-14T17:36:14.657715Z,2027-09-14T17:42:37.011706Z,382,20.2,1386.6,67.883,21.067,402.0
KSAT Tromsø,2027-09-14T17:36:32.472505Z,2027-09-14T17:43:14.763624Z,402,22.6,1285.5,69.6492,18.9553,0.0
KSAT Svalbard (Longyearbyen),2027-09-14T17:38:47.666702Z,2027-09-14T17:45:37.666812Z,410,26.4,1096.7,78.2288,15.407,0.0
RBC Signals – Deadhorse (AK),2027-09-14T17:46:58.669229Z,2027-09-14T17:53:10.086366Z,371,67.0,434.4,70.2,-148.5,0.0
KSAT Inuvik,2027-09-14T17:47:06.875099Z,2027-09-14T17:52:22.004711Z,315,24.3,885.3,68.36,-133.723,0.0
NASA NEN Fairbanks (ASF),2027-09-14T17:48:29.513556Z,2027-09-14T17:54:02.380188Z,332,36.9,601.7,64.858,-147.849,0.0
RBC Signals – Fairbanks (AK),2027-09-14T17:48:29.513556Z,2027-09-14T17:54:02.380188Z,332,36.9,601.7,64.858,-147.849,0.0
SSC Space US North Pole (AK),2027-09-14T17:48:30.878988Z,2027-09-14T17:54:00.953118Z,330,35.2,623.3,64.7511,-147.3494,0.0
RBC Signals – Talkeetna (AK),2027-09-14T17:49:17.979437Z,2027-09-14T17:54:36.969298Z,318,34.3,613.2,62.32,-150.11,0.0
