station,AOS_utc,LOS_utc,duration_s,max_elev_deg,range_at_max_km,station_lat,station_lon,station_alt_m
KSAT Svalbard (Longyearbyen),2027-09-14T16:05:49.681588Z,2027-09-14T16:13:38.314291Z,468,52.2,684.1,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-14T17:38:47.666702Z,2027-09-14T17:45:37.666812Z,410,26.4,1096.7,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-14T19:13:02.152266Z,2027-09-14T19:17:21.945305Z,259,14.1,1571.9,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T04:34:33.644195Z,2027-09-15T04:39:17.718494Z,284,18.3,1109.6,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T06:06:22.414878Z,2027-09-15T06:12:34.741927Z,372,39.6,642.6,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T07:38:14.872043Z,2027-09-15T07:44:53.832663Z,398,89.2,436.0,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T09:09:59.082261Z,2027-09-15T09:16:37.011746Z,397,49.5,582.6,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T10:41:28.254700Z,2027-09-15T10:48:06.615766Z,398,38.8,722.7,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T12:12:43.770887Z,2027-09-15T12:19:41.259912Z,417,41.9,714.8,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T13:44:00.447518Z,2027-09-15T13:51:28.113567Z,447,60.7,586.1,78.2288,15.407,0.0
KSAT Svalbard (Longyearbyen),2027-09-15T15:15:40.998853Z,2027-09-15T15:23:24.639871Z,463,75.7,546.5,78.2288,15.407,0.0
