alpha_deg,Cl,Cd,Cm
-22,-2.193245422464302,0.0,-0.1
-20,-1.9739208802178716,0.0,-0.1
-18,-1.7545963379714415,0.0,-0.1
-16,-1.5352717957250113,0.0,-0.1
-14,-1.3159472534785812,0.0,-0.1
-12,-1.096622711232151,0.0,-0.1
-10,-0.8772981689857208,0.0,-0.1
-8,-0.6579736267392906,0.0,-0.1
-6,-0.4386490844928604,0.0,-0.1
-4,-0.2193245422464302,0.0,-0.1
-2,0.0,0.0,-0.1
0,0.2193245422464302,0.0,-0.1
2,0.4386490844928604,0.0,-0.1
4,0.6579736267392906,0.0,-0.1
6,0.8772981689857208,0.0,-0.1
8,1.096622711232151,0.0,-0.1
10,1.3159472534785812,0.0,-0.1
12,1.5352717957250113,0.0,-0.1
14,1.7545963379714415,0.0,-0.1
16,1.9739208802178716,0.0,-0.1
18,2.193245422464302,0.0,-0.1
20,2.4125699647107317,0.0,-0.1
22,2.6318945069571624,0.0,-0.1
