alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-22.0,-0.3824,0.21322,0.20967,-0.0074,1.0,0.0245
-21.0,-0.3628,0.20356,0.19999,-0.0123,1.0,0.0255
-20.0,-0.3426,0.1946,0.19101,-0.0171,1.0,0.0283
-19.0,-0.3248,0.18542,0.18183,-0.0219,1.0,0.0299
-18.0,-0.3051,0.17694,0.17333,-0.0261,1.0,0.033
-17.0,-0.2906,0.16821,0.1646,-0.0304,1.0,0.035
-16.0,-0.2755,0.1606,0.15698,-0.0341,1.0,0.0394
-15.0,-0.2639,0.15243,0.14883,-0.0367,1.0,0.0413
-14.0,-0.2609,0.14589,0.1423,-0.0394,1.0,0.0461
-13.0,-0.2496,0.13627,0.13273,-0.0401,1.0,0.0491
-12.0,-0.2751,0.12703,0.12358,-0.0445,1.0,0.0543
-11.0,-0.3486,0.11916,0.11543,-0.0428,1.0,0.0552
-10.0,-0.3319,0.1086,0.10497,-0.042,1.0,0.0615
-9.0,-0.3609,0.09729,0.09389,-0.0402,1.0,0.0653
-8.0,-0.4015,0.09081,0.08765,-0.0304,1.0,0.069
-7.0,-0.3476,0.06817,0.06495,-0.0624,0.9758,0.0785
-6.0,-0.2731,0.02351,0.01678,-0.0951,0.9472,0.0574
-5.0,-0.1241,0.01918,0.01176,-0.1028,0.9311,0.0727
-4.0,0.0168,0.01601,0.00846,-0.1081,0.9128,0.1002
-3.0,0.1373,0.01398,0.00656,-0.1089,0.8839,0.1517
-2.0,0.2531,0.01242,0.00525,-0.1085,0.8494,0.2551
-0.0,0.4892,0.00973,0.00421,-0.1079,0.7565,1.0
1.0,0.5934,0.01013,0.00406,-0.1056,0.7044,1.0
2.0,0.6984,0.01075,0.00427,-0.1038,0.656,1.0
3.0,0.8041,0.01153,0.00478,-0.1023,0.614,1.0
4.0,0.9097,0.0124,0.00549,-0.1009,0.5766,1.0
5.0,1.0145,0.01335,0.00637,-0.0994,0.541,1.0
6.0,1.115,0.01431,0.00738,-0.0971,0.5011,1.0
7.0,1.2078,0.0152,0.00834,-0.0934,0.451,1.0
8.0,1.2921,0.01627,0.00951,-0.0883,0.3923,1.0
9.0,1.3556,0.01812,0.01128,-0.0801,0.3016,1.0
10.0,1.3706,0.02267,0.01521,-0.066,0.1682,1.0
11.0,1.3689,0.02996,0.02213,-0.0539,0.0924,1.0
12.0,1.371,0.03857,0.03084,-0.0461,0.0684,1.0
13.0,1.372,0.04838,0.04078,-0.0407,0.056,1.0
14.0,1.3875,0.05741,0.05004,-0.0366,0.0475,1.0
15.0,1.4075,0.0665,0.05944,-0.0338,0.0413,1.0
16.0,1.4174,0.07749,0.07101,-0.0321,0.0368,1.0
17.0,1.4228,0.08952,0.08346,-0.0313,0.0338,1.0
18.0,1.3779,0.11031,0.10521,-0.0381,0.0323,1.0
19.0,1.3054,0.13933,0.13514,-0.0538,0.0316,1.0
20.0,1.0887,0.24043,0.23698,-0.1109,0.0562,1.0
22.0,1.1196,0.27567,0.27219,-0.1403,0.0424,1.0
