alpha,Cl,Cd,Cm
-22,-0.5344863290192952,0.21594649427415366,-0.06753342549534583
-20,-0.4598931730682013,0.16738742593906036,-0.07158960167024997
-18,-0.3877526402580759,0.1259884700861614,-0.07425038643751097
-16,-0.3280228885456482,0.09405904971374034,-0.07276880926547158
-14,-0.2103276629120097,0.0524405761365251,-0.07586106343384577
-12,-0.1680695997543984,0.03572429624505172,-0.07218206608978792
-10,-0.16689198013124545,0.029427558960999634,-0.061617388898068115
-8,-0.2556489667219164,0.03592911917390203,-0.04271760443505601
-6,-0.2978597443306343,0.03130632064430123,-0.07219409345569444
-4,-0.09567458268320377,0.006690218551062228,-0.12166924195858933
-2,0.28799213368698456,-0.010056906915919784,-0.12077564019306983
0,0.4965379519402187,0.0,-0.13473754254127585
2,0.7269063427468716,0.02538412883715287,-0.12438912526229728
4,0.9545627717419374,0.06674953142787451,-0.15846600413225254
6,1.0817693976158331,0.11369854527022365,-0.17587940827395437
8,1.2081082938888725,0.16978854803402416,-0.21552846923148733
10,1.2023430885727142,0.21200552658371716,-0.2156550385021761
12,1.1820663257983535,0.2512559538776142,-0.23821180180303178
14,1.0591538333584316,0.26407670997495675,-0.25665498087155914
16,0.9672123662344164,0.27734368306657714,-0.28531861044670814
18,0.8819777829007492,0.28657195330428364,-0.31592288663103274
20,0.9449855204959735,0.3439466012730886,-0.29836007785063906
22,1.0012699942465964,0.4045393368174415,-0.32133401953814283
