alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.0,-0.2737,0.16037,0.15677,-0.0338,1.0,0.039
-15.0,-0.265,0.1524,0.14882,-0.0369,1.0,0.041
-14.0,-0.2574,0.14559,0.14201,-0.0389,1.0,0.0456
-13.0,-0.2504,0.13615,0.13263,-0.0403,1.0,0.0488
-12.0,-0.2703,0.12695,0.12351,-0.0438,1.0,0.0542
-11.0,-0.2557,0.11588,0.11253,-0.0397,1.0,0.057
-10.0,-0.3073,0.10578,0.10262,-0.0404,1.0,0.0633
-9.0,-0.3025,0.09635,0.09332,-0.0322,0.9995,0.0665
-8.0,-0.4025,0.09068,0.08754,-0.0304,1.0,0.0683
-7.0,-0.346,0.06736,0.06414,-0.0639,0.9753,0.078
-6.0,-0.2709,0.02327,0.01652,-0.0955,0.947,0.0572
-5.0,-0.122,0.01902,0.01162,-0.1031,0.9309,0.0726
-4.0,0.0182,0.0159,0.00837,-0.1083,0.9127,0.1
-3.0,0.138,0.01388,0.00648,-0.1089,0.8835,0.1513
-2.0,0.2535,0.01234,0.00519,-0.1085,0.8489,0.2543
-1.0,0.3578,0.01063,0.00454,-0.1064,0.8045,0.5596
0.0,0.4894,0.00968,0.00418,-0.1079,0.7556,1.0
1.0,0.5936,0.01008,0.00402,-0.1056,0.7036,1.0
2.0,0.6986,0.01071,0.00423,-0.1038,0.6551,1.0
3.0,0.8041,0.01148,0.00475,-0.1023,0.6129,1.0
4.0,0.9098,0.01234,0.00545,-0.1009,0.5757,1.0
5.0,1.0148,0.0133,0.00632,-0.0994,0.5403,1.0
6.0,1.115,0.01424,0.00734,-0.0971,0.5001,1.0
7.0,1.2079,0.01513,0.0083,-0.0933,0.4501,1.0
8.0,1.2923,0.0162,0.00947,-0.0883,0.3911,1.0
9.0,1.3557,0.01807,0.01125,-0.0801,0.3002,1.0
10.0,1.3706,0.02265,0.01519,-0.066,0.1669,1.0
11.0,1.3693,0.02992,0.02209,-0.054,0.0917,1.0
12.0,1.3714,0.03853,0.0308,-0.0462,0.068,1.0
13.0,1.3731,0.04829,0.04073,-0.0408,0.0557,1.0
14.0,1.3876,0.05744,0.05011,-0.0368,0.0472,1.0
15.0,1.4085,0.06637,0.05929,-0.0337,0.041,1.0
16.0,1.4173,0.0775,0.07103,-0.0323,0.0366,1.0
