alpha_u_deg,alpha_corr_deg,Cl,Cl_unc,Cd,Cd_unc,Cm,Cm_unc,Re_corr,Re_corr_unc,q_corr,q_corr_unc
-22,-22.041910380230874,-0.5189158029900163,0.0010649241050995407,0.20965559340827603,0.0004302572669842493,-0.0675029376691116,0.00034922791413135207,214275.70118097137,1021.7549769880534,616.518639124314,0.25041115036442957
-20,-20.03887013279583,-0.44773634253479244,0.0009753381068665522,0.162962701481881,0.0003549940392449733,-0.07141114278643539,0.0003157367165145405,213990.01798983474,1020.3927216283606,615.6966653249073,0.2500772895666908
-18,-18.03566690760183,-0.37839458340703314,0.0009668530341091494,0.12294785309679032,0.00031414959414460857,-0.07394252030898268,0.00030658582283923057,213746.45924327543,1019.2313330055987,614.9958928801178,0.24979265707886744
-16,-16.032247069231133,-0.3206882204514835,0.0012444872233494369,0.09195586748166625,0.00035685096893124196,-0.07239546884163436,0.0003923895624267473,213558.61176152,1018.3355986860261,614.4554140802517,0.24957313100222797
-14,-14.026760925093871,-0.20611099390193166,0.000909516869951859,0.05138924247359161,0.0002267680247372779,-0.07528879556466511,0.00030692328847092246,213313.76154611376,1017.1680518067994,613.750925793621,0.24928698925228182
-12,-12.02379330794169,-0.164856207666012,0.0008359327136430273,0.035041268671446656,0.0001776829833994531,-0.071592916502903,0.000273129232129736,213215.4161629121,1016.6991004315558,613.4679643496426,0.24917205890598107
-10,-10.02153083252656,-0.16375948538064888,0.0010844304427365895,0.028875215619541823,0.00019121434575608673,-0.061147355234355286,0.00034819820677530963,213178.37113584025,1016.5224544536186,613.3613776039184,0.2491287666064193
-8,-8.022216187628857,-0.25075819950448974,0.0019240627658010582,0.035241766666829794,0.00027040938712547257,-0.04258769086091668,0.0005990960633884668,213216.62117919303,1016.7048464465058,613.4714314483083,0.24917346713617916
-6,-6.030556215134735,-0.29223794848207457,0.0025753438707575233,0.030715446090818607,0.0002706795480821166,-0.07178669412156252,0.0006880402784880109,213189.42428515866,1016.5751604313157,613.3931799619938,0.24914168375857754
-4,-4.030333044132492,-0.09399966433928647,0.0006415859196951359,0.0065730968510063865,4.4864057952125936e-05,-0.12041361713416374,0.00019375290435902644,213044.60258984086,1015.8845908186565,612.97649587686,0.24897243933598373
-2,-2.0101627499578694,0.2830574662735884,0.0005577432466145577,-0.009884584532658138,1.9476823350605974e-05,-0.11899182544555156,0.0001763255873221142,213005.24262988692,1015.6969062853411,612.863248556641,0.2489264417133133
0,-0.002209132414997331,0.4880299082669946,0.0006149516943560854,0.0,0.0,-0.13250155989177442,0.00019925553863651935,213005.24262988692,1015.6969062853411,612.863248556641,0.2489264417133133
2,2.011946184162836,0.713425894247266,0.0005759190175810953,0.024913381202452765,2.0111535258863234e-05,-0.12194951255818771,0.00017485911666903598,213154.58278774124,1016.4090217921896,613.2929332590104,0.249100966591859
4,4.016704290538015,0.9346667844146235,0.0004727274037720595,0.06535826846360697,3.3056320264112725e-05,-0.15532121744483005,0.00014431572058934872,213397.9441334166,1017.5694691260678,613.9931377377466,0.24938536838911804
6,6.01970206390999,1.0564004819454693,0.00037302550458551457,0.11103216478917063,3.92065603940536e-05,-0.17236188276735498,0.00011043060221443886,213674.15503603616,1018.8865567048015,614.7878576656515,0.249708159491828
8,8.018021869968415,1.1760119650118754,0.0004526589531418548,0.16527770318276852,6.361706711006696e-05,-0.21138723388809727,0.0001328613552372362,214004.14429509378,1020.4600816819054,615.7373098331094,0.25009379813173493
10,10.017695206199402,1.1675799656791979,0.0005251109350594227,0.2058758500839061,9.259122571602681e-05,-0.21152439734117545,0.0001515875467435834,214252.51564087407,1021.6444187639617,616.451929191506,0.25038405481539816
12,12.011939375165925,1.1453118718348096,0.0006033206987790022,0.24344355351706418,0.0001282397733168198,-0.23385528775925085,0.00017846461440212619,214483.43414296352,1022.7455334843341,617.1163328540407,0.25065391540822296
14,14.00169459928986,1.0254667485587683,0.0008239633745105413,0.2556775764002478,0.00020543714258264103,-0.25225891371806985,0.0002616836972060949,214558.8613420481,1023.1052014991403,617.3333536075666,0.25074206264837867
16,15.990933599103785,0.9357366525100016,0.0013586925813389155,0.268318167392636,0.00038959882836365773,-0.28072323933980803,0.0003350939136741226,214636.91372936708,1023.4773874948897,617.5579276089353,0.2508332777884506
18,17.980117610354643,0.8528236598446391,0.002984365391511213,0.2770992044969556,0.0009696790964578216,-0.3110963091650397,0.0006403403469048279,214691.2055801082,1023.7362734460214,617.7141372853007,0.2508967254156177
20,19.987058693102473,0.9107365289874447,0.0016811446959592174,0.3314809878103482,0.0006118866288236598,-0.2936514295933416,0.0006793809514155055,215028.7526765426,1025.345837310934,618.685335024415,0.251291196446418
22,21.98520380163493,0.9616105534059332,0.001683830693673995,0.3885158826158556,0.0006803117601104983,-0.31629029370225503,0.0006599476524830113,215385.23245763223,1027.045680029994,619.7110062895255,0.25170779296936635
