alpha_deg,Cl,Cl_unc,Cd,Cd_unc,Cm,Cm_unc,ε_total
-22,-0.5344863290192952,0.0010968780914728906,0.21594649427415366,0.0004431675154990619,-0.06753342549534583,0.00035325994613899064,0.011710090350838387
-20,-0.4598931730682013,0.001001820254844145,0.16738742593906036,0.00036463275284825,-0.07158960167024997,0.0003193819944879083,0.01036122734153024
-18,-0.3877526402580759,0.0009907642264373544,0.1259884700861614,0.00032191881149245557,-0.07425038643751097,0.00031012532356171325,0.00921125634561638
-16,-0.3280228885456482,0.0012729506970555991,0.09405904971374034,0.00036501273867915117,-0.07276880926547158,0.0003969196122628537,0.008324328001938018
-14,-0.2103276629120097,0.0009281239880248229,0.0524405761365251,0.00023140730032507724,-0.07586106343384577,0.0003104670535870541,0.007168259291459816
-12,-0.1680695997543984,0.0008522267895924505,0.03572429624505172,0.0001811463961588527,-0.07218206608978792,0.00027628264291176607,0.006703918183363334
-10,-0.16689198013124545,0.0011051741124016683,0.029427558960999634,0.00019487201439694386,-0.061617388898068115,0.00035221820628839864,0.006529008814361886
-8,-0.2556489667219164,0.001961589527110742,0.03592911917390203,0.00027568342948361294,-0.04271760443505601,0.000606012335661737,0.0067096077091647315
-6,-0.2978597443306343,0.0026248858879953235,0.03130632064430123,0.00027588662391741457,-0.07219409345569444,0.0006959807461877561,0.006581196638898042
-4,-0.09567458268320377,0.000653017918241617,0.006690218551062228,4.566346116462421e-05,-0.12166924195858933,0.00019598955726792078,0.005897416025196959
-2,0.28799213368698456,0.0005674666340960609,-0.010056906915919784,1.9816371523526494e-05,-0.12077564019306983,0.00017836123652998257,0.005711576621000786
0,0.4965379519402187,0.0006256724222948377,0.0,0.0,-0.13473754254127585,0.00020155600901582935,0.005711576621000786
2,0.7269063427468716,0.0005868012223329102,0.02538412883715287,2.0491550222563367e-05,-0.12438912526229728,0.00017687768381223463,0.0064166913109216985
4,0.9545627717419374,0.0004827902182333795,0.06674953142787451,3.375998079857188e-05,-0.15846600413225254,0.0001459817134720392,0.007565730271775078
6,1.0817693976158331,0.0003819835207266065,0.11369854527022365,4.014808583006065e-05,-0.17587940827395437,0.00011170534493413787,0.008869869545173666
8,1.2081082938888725,0.00046501315621240896,0.16978854803402416,6.535333712168549e-05,-0.21552846923148733,0.00013439499768947975,0.010427925177501456
10,1.2023430885727142,0.0005407454067913705,0.21200552658371716,9.534800491149302e-05,-0.2156550385021761,0.00015333728767899152,0.01160061902610404
12,1.1820663257983535,0.0006226819953776322,0.2512559538776142,0.0001323551439512981,-0.23821180180303178,0.00018052469641273555,0.012690908673156736
14,1.0591538333584316,0.0008510309748086145,0.26407670997495675,0.00021218585330671708,-0.25665498087155914,0.0002647048160191732,0.013047040786971806
16,0.9672123662344164,0.0014043954172970835,0.27734368306657714,0.0004027039056907542,-0.28531861044670814,0.00033896029285557136,0.013415567817294595
18,0.8819777829007492,0.003086387134065077,0.28657195330428364,0.001002827970057575,-0.31592288663103274,0.0006477252320198945,0.013671908657230888
20,0.9449855204959735,0.0017443655162336935,0.3439466012730886,0.0006348971255894624,-0.29836007785063906,0.0006872270099407816,0.015265648878586582
22,1.0012699942465964,0.001753276462072573,0.4045393368174415,0.0007083696718167981,-0.32133401953814283,0.0006675690158858476,0.01694878042148527
