Dataset,Property,Min,Min α,Min Unc,Max,Max α,Max Unc
Experimental Uncorrected,Cl,-0.5344863290192952,-22.0,0.0010968780914728906,1.2081082938888725,8.0,0.00046501315621240896
Experimental Uncorrected,Cd,-0.010056906915919784,-2.0,1.9816371523526494e-05,0.4045393368174415,22.0,0.0007083696718167981
Experimental Uncorrected,Cm,-0.32133401953814283,22.0,0.0006675690158858476,-0.04271760443505601,-8.0,0.000606012335661737
Experimental Corrected,Cl,-0.5189158029900163,-22.041910380230874,0.0010649241050995407,1.1760119650118754,8.018021869968415,0.0004526589531418548
Experimental Corrected,Cd,-0.009884584532658138,-2.0101627499578694,1.9476823350605974e-05,0.3885158826158556,21.98520380163493,0.0006803117601104983
Experimental Corrected,Cm,-0.31629029370225503,21.98520380163493,0.0006599476524830113,-0.04258769086091668,-8.022216187628857,0.0005990960633884668
XFOIL Viscous,Cl,-0.4015,-8.0,,1.4228,17.0,
XFOIL Viscous,Cd,0.00973,-0.0,,0.27567,22.0,
XFOIL Viscous,Cm,-0.1403,22.0,,-0.0074,-22.0,
Thin Airfoil Theory,Cl,-2.193245422464302,-22.0,,2.6318945069571624,22.0,
Thin Airfoil Theory,Cd,0.0,-22.0,,0.0,-22.0,
Thin Airfoil Theory,Cm,-0.1,-22.0,,-0.1,-22.0,
