alpha_deg,Cl,Cd,Cm
-22.0,-0.3824,0.21322,-0.0074
-21.0,-0.3628,0.20356,-0.0123
-20.0,-0.3426,0.1946,-0.0171
-19.0,-0.3248,0.18542,-0.0219
-18.0,-0.3051,0.17694,-0.0261
-17.0,-0.2906,0.16821,-0.0304
-16.0,-0.2755,0.1606,-0.0341
-15.0,-0.2639,0.15243,-0.0367
-14.0,-0.2609,0.14589,-0.0394
-13.0,-0.2496,0.13627,-0.0401
-12.0,-0.2751,0.12703,-0.0445
-11.0,-0.3486,0.11916,-0.0428
-10.0,-0.3319,0.1086,-0.042
-9.0,-0.3609,0.09729,-0.0402
-8.0,-0.4015,0.09081,-0.0304
-7.0,-0.3476,0.06817,-0.0624
-6.0,-0.2731,0.02351,-0.0951
-5.0,-0.1241,0.01918,-0.1028
-4.0,0.0168,0.01601,-0.1081
-3.0,0.1373,0.01398,-0.1089
-2.0,0.2531,0.01242,-0.1085
-0.0,0.4892,0.00973,-0.1079
1.0,0.5934,0.01013,-0.1056
2.0,0.6984,0.01075,-0.1038
3.0,0.8041,0.01153,-0.1023
4.0,0.9097,0.0124,-0.1009
5.0,1.0145,0.01335,-0.0994
6.0,1.115,0.01431,-0.0971
7.0,1.2078,0.0152,-0.0934
8.0,1.2921,0.01627,-0.0883
9.0,1.3556,0.01812,-0.0801
10.0,1.3706,0.02267,-0.066
11.0,1.3689,0.02996,-0.0539
12.0,1.371,0.03857,-0.0461
13.0,1.372,0.04838,-0.0407
14.0,1.3875,0.05741,-0.0366
15.0,1.4075,0.0665,-0.0338
16.0,1.4174,0.07749,-0.0321
17.0,1.4228,0.08952,-0.0313
18.0,1.3779,0.11031,-0.0381
19.0,1.3054,0.13933,-0.0538
20.0,1.0887,0.24043,-0.1109
22.0,1.1196,0.27567,-0.1403
