block_index,start_idx,end_idx,num_samples,frequency_hz,time_start_s,time_end_s,duration_s,amplitude_set
1,0,41862,41863,0.05,16.060249,37.246432,21.186183,200.0
2,41863,73341,31479,0.1,46.666797,62.776251,16.109454,200.0
3,73342,121153,47812,0.2,74.379953,98.606074,24.226121000000006,200.0
4,121154,148579,27426,0.5,109.61209,123.400619,13.788529000000011,200.0
5,148580,173021,24442,1.0,128.862335,141.153806,12.291471000000001,200.0
6,173022,225081,52060,2.0,148.525049,174.745842,26.220793000000015,200.0
7,225082,239556,14475,5.0,181.60638,188.908783,7.302402999999998,200.0
8,239557,249833,10277,7.5,200.322601,205.483755,5.1611540000000105,200.0
9,249834,260020,10187,10.0,212.771374,217.931919,5.160544999999985,200.0
10,260021,274129,14109,15.0,222.533016,229.629629,7.096612999999991,200.0
11,274130,286481,12352,20.0,234.389548,240.586238,6.196690000000018,200.0
