controller,waveform,deadband,duty_cycle,Kp,Ki,Kd,error_rms_mean,error_rms_min,error_rms_max,command_rms_mean,command_rms_min,command_rms_max,rise_time_10_90_mean,percent_overshoot_mean,settling_time_2pct_mean
bang-bang,sine,0.0,0.5,0.0,0.0,0.0,6.448305433729205,6.448305433729205,6.448305433729205,69.90661059170937,69.90661059170937,69.90661059170937,,,
bang-bang,sine,0.0,1.0,0.0,0.0,0.0,14.75478634933936,14.75478634933936,14.75478634933936,70.01721987490706,70.01721987490706,70.01721987490706,,,
bang-bang,sine,5.0,0.5,0.0,0.0,0.0,3.803452154537264,3.803452154537264,3.803452154537264,69.99039068339317,69.99039068339317,69.99039068339317,,,
bang-bang,sine,5.0,1.0,0.0,0.0,0.0,12.096318479307579,12.096318479307579,12.096318479307579,69.9173950387962,69.9173950387962,69.9173950387962,,,
bang-bang,sine,10.0,0.5,0.0,0.0,0.0,7.86702280629233,7.86702280629233,7.86702280629233,69.96943678027161,69.96943678027161,69.96943678027161,,,
bang-bang,sine,10.0,1.0,0.0,0.0,0.0,5.812263680881461,5.812263680881461,5.812263680881461,70.04734869533645,70.04734869533645,70.04734869533645,,,
bang-bang,square,0.0,0.5,0.0,0.0,0.0,61.98975881825543,61.98975881825543,61.98975881825543,99.0,99.0,99.0,0.33210400000000107,105.51446565656568,0.47087700000000154
bang-bang,square,0.0,1.0,0.0,0.0,0.0,51.74774592824393,51.74774592824393,51.74774592824393,99.0,99.0,99.0,0.1520930000000078,112.5376045454546,0.24244500000000357
bang-bang,square,5.0,0.5,0.0,0.0,0.0,59.915749786558095,59.915749786558095,59.915749786558095,99.0,99.0,99.0,0.3296279999999996,104.51308939393942,0.44932399999999717
bang-bang,square,5.0,1.0,0.0,0.0,0.0,57.88726402529806,57.88726402529806,57.88726402529806,99.0,99.0,99.0,0.3243539999999996,113.34545252525258,0.3633570000000077
bang-bang,square,10.0,0.5,0.0,0.0,0.0,60.61359185571795,60.61359185571795,60.61359185571795,99.0,99.0,99.0,0.32871100000001263,102.42078484848487,0.45251800000001197
bang-bang,square,10.0,1.0,0.0,0.0,0.0,44.180856572322945,44.180856572322945,44.180856572322945,99.0,99.0,99.0,0.15561099999999328,112.3363141414142,0.22713999999999146
pid,sine,10.0,1.0,0.75,0.0,0.0,39.0500193519887,39.0500193519887,39.0500193519887,70.10434259860561,70.10434259860561,70.10434259860561,,,
pid,sine,10.0,1.0,2.0,0.0,0.0,60.632218399812515,60.632218399812515,60.632218399812515,70.05584022091696,70.05584022091696,70.05584022091696,,,
pid,sine,10.0,1.0,5.0,0.0,0.0,31.05003699492988,31.05003699492988,31.05003699492988,70.01296412253284,70.01296412253284,70.01296412253284,,,
pid,sine,10.0,1.0,9.91,0.0,-0.17,16.08031054146183,16.08031054146183,16.08031054146183,70.03601000330201,70.03601000330201,70.03601000330201,,,
pid,sine,10.0,1.0,30.0,20.0,3.0,5.213493960516658,5.213493960516658,5.213493960516658,69.92154107969185,69.92154107969185,69.92154107969185,,,
pid,square,10.0,1.0,0.75,0.0,0.0,103.45292462861163,103.45292462861163,103.45292462861163,99.0,99.0,99.0,,65.15151515151499,
pid,square,10.0,1.0,2.0,0.0,0.0,71.37477963119001,71.37477963119001,71.37477963119001,99.0,99.0,99.0,,75.50450505050492,
pid,square,10.0,1.0,5.0,0.0,0.0,47.15822993953133,47.15822993953133,47.15822993953133,99.0,99.0,99.0,,88.5859757575757,
pid,square,10.0,1.0,9.91,0.0,-0.17,47.991650481555524,47.991650481555524,47.991650481555524,99.0,99.0,99.0,0.15586400000000022,104.8220090909091,0.2468110000000001
pid,square,10.0,1.0,30.0,20.0,3.0,45.335807456564126,45.335807456564126,45.335807456564126,99.0,99.0,99.0,0.2804310000000072,98.35668434343432,0.5985100000000045
