file,sheet,run_index,controller,deadband,duty_cycle,Kp,Ki,Kd,rise_time_10_90,percent_overshoot,settling_time_2pct
BB_Square.xlsx,BB_Square,1,bang-bang,0.0,0.5,0.0,0.0,0.0,0.33210400000000107,105.51446565656568,0.47087700000000154
BB_Square.xlsx,BB_Square,2,bang-bang,5.0,0.5,0.0,0.0,0.0,0.3296279999999996,104.51308939393942,0.44932399999999717
BB_Square.xlsx,BB_Square,3,bang-bang,10.0,0.5,0.0,0.0,0.0,0.32871100000001263,102.42078484848487,0.45251800000001197
BB_Square.xlsx,BB_Square,4,bang-bang,0.0,1.0,0.0,0.0,0.0,0.1520930000000078,112.5376045454546,0.24244500000000357
BB_Square.xlsx,BB_Square,5,bang-bang,5.0,1.0,0.0,0.0,0.0,0.3243539999999996,113.34545252525258,0.3633570000000077
BB_Square.xlsx,BB_Square,6,bang-bang,10.0,1.0,0.0,0.0,0.0,0.15561099999999328,112.3363141414142,0.22713999999999146
PID_ack.xlsx,PID_ack,1,pid,10.0,1.0,9.91,0.0,-0.17,0.15586400000000022,104.8220090909091,0.2468110000000001
PID_Manual.xlsx,PID_Manual,1,pid,10.0,1.0,30.0,20.0,3.0,0.2804310000000072,98.35668434343432,0.5985100000000045
PID_prop.xlsx,PID_prop,1,pid,10.0,1.0,0.75,0.0,0.0,,65.15151515151499,
PID_prop.xlsx,PID_prop,2,pid,10.0,1.0,2.0,0.0,0.0,,75.50450505050492,
PID_prop.xlsx,PID_prop,3,pid,10.0,1.0,5.0,0.0,0.0,,88.5859757575757,
