step_index,t_step,t_next,u0,u1,du,y0,y_ss,dy,gain_K,tau_63,segment_len
1,10.000558,12.000251,300.0,-300.0,-600.0,689.910613,21.624771,-668.285842,1.1138097366666666,1.214392469482128,3984
2,12.000751,14.000069,-300.0,300.0,600.0,21.527199,627.070014,605.542815,1.009238025,1.2619758146632467,3983
3,14.000569,16.0001,300.0,-300.0,-600.0,627.166786,1.1055385000000002,-626.0612475,1.0434354125,1.2561639641525222,3983
4,16.0006,18.000101,-300.0,300.0,600.0,1.0092,606.4158709999999,605.406671,1.0090111183333332,1.262736723765034,3986
5,18.000601,20.000392,300.0,-300.0,-600.0,606.511009,-20.0927445,-626.6037534999999,1.0443395891666665,1.2571875860411588,3982
6,20.000892,22.000323,-300.0,300.0,600.0,-20.190699,584.8902390000001,605.0809380000001,1.00846823,1.2637956320504493,3985
7,22.000824,24.000393,300.0,-300.0,-600.0,584.986417,-42.427099,-627.413516,1.0456891933333332,1.2567981886178856,3979
8,24.000893,26.000051,-300.0,300.0,600.0,-42.5252085,563.0351885,605.560397,1.0092673283333333,1.260925648489085,3983
9,26.000551,28.000123,300.0,-300.0,-600.0,563.131185,-64.040358,-627.1715429999999,1.0452859049999998,1.255999999994696,3985
10,28.000623,30.000097,-300.0,300.0,600.0,-64.138803,541.805948,605.944751,1.0099079183333333,1.2627257755038812,3979
11,30.000597,32.000454,300.0,-300.0,-600.0,541.8999705,-84.696135,-626.5961055,1.0443268425,1.2565251752325892,3986
12,32.000954,34.000281,-300.0,300.0,600.0,-84.794364,521.518606,606.31297,1.0105216166666666,1.2619438279127877,3980
13,34.000781,36.000177,300.0,-300.0,-600.0,521.518606,-105.266685,-626.7852909999999,1.0446421516666666,1.2569628207948895,3984
14,36.000677,38.000182,-300.0,300.0,600.0,-105.367476,500.9340655,606.3015415,1.0105025691666667,1.2613250739283828,3986
15,38.000682,40.000392,300.0,-300.0,-600.0,501.02925,-126.6641765,-627.6934265,1.0461557108333333,1.257324820604019,3982
16,40.000892,42.000131,-300.0,300.0,600.0,-126.762262,480.016127,606.778389,1.011297315,1.2614769451889316,3978
17,42.000631,44.000282,300.0,-300.0,-600.0,480.11194,-145.6842815,-625.7962215,1.0429937025,1.2578115056689825,3983
18,44.000782,46.000102,-300.0,300.0,600.0,-145.782472,461.51709900000003,607.299571,1.0121659516666668,1.2606513128421284,3982
19,46.000602,48.000247,300.0,-300.0,-600.0,461.613231,-166.294313,-627.9075439999999,1.0465125733333331,1.2575677646328884,3986
20,48.000747,50.000472,-300.0,300.0,600.0,-166.392816,441.666782,608.059598,1.0134326633333335,1.2604653736170235,3988
21,50.000972,52.000322,300.0,-300.0,-600.0,441.76329,-185.2379945,-627.0012845,1.0450021408333334,1.2579455139276234,3981
22,52.000822,54.000467,-300.0,300.0,600.0,-185.337983,420.977628,606.315611,1.0105260183333333,1.262029486433761,3983
23,54.000967,56.000108,300.0,-300.0,-600.0,421.074844,-205.559763,-626.634607,1.0443910116666666,1.2577639404952947,3984
24,56.000608,58.000162,-300.0,300.0,600.0,-205.658331,402.12309600000003,607.781427,1.012969045,1.2619141578406357,3986
25,58.000662,60.000371,300.0,-300.0,-600.0,402.218746,-223.38835899999998,-625.607105,1.0426785083333334,1.258884924421615,3985
26,60.000871,62.000176,-300.0,300.0,600.0,-223.486369,382.793435,606.279804,1.01046634,1.2615929194847055,3981
27,62.000676,64.000426,300.0,-300.0,-600.0,382.889211,-244.090486,-626.979697,1.0449661616666666,1.2581372954255272,3980
28,64.000926,66.000099,-300.0,300.0,600.0,-244.090486,361.980809,606.071295,1.010118825,1.2620490856789104,3986
29,66.000599,68.000015,300.0,-300.0,-600.0,362.075214,-265.293491,-627.3687050000001,1.0456145083333335,1.2563842269634762,3984
30,68.000515,70.000282,-300.0,300.0,600.0,-265.39217,340.408319,605.800489,1.0096674816666666,1.2648795110465585,3981
31,70.000782,72.000169,300.0,-300.0,-600.0,340.505058,-285.773704,-626.278762,1.0437979366666668,1.258527933950461,3989
32,72.000669,74.000206,-300.0,300.0,600.0,-285.871801,320.207837,606.0796379999999,1.0101327299999998,1.263403905719585,3988
