"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-73,-308,0,901,0,0,6,-69,0,0,0
901,-73,-308,0,901,0,0.047543,5,-69,0,0,0
901,-73,-308,0,901,0,0.149502,5,-69,0,0,0
901,-73,-308,0,901,0,0.200595,5,-69,0,0,0
901,-72,-308,0,901,0,0.302521,4,-69,0,0,0
901,-72,-308,0,901,0,0.353541,4,-69,0,0,0
901,-72,-308,0,901,0,0.45599,4,-69,0,0,0
901,-72,-308,0,901,0,0.506469,4,-69,0,0,0
901,-70,-308,0,901,0,0.608948,5,-69,0,0,0
901,-70,-308,0,901,0,0.65957,6,-69,0,0,0
901,-69,-308,0,901,0,0.762032,6,-69,0,0,0
901,-69,-308,0,901,0,0.8126,7,-69,0,0,0
901,-69,-308,0,901,0,0.966386,7,-69,0,0,0
901,-69,-308,0,901,0,0.966386,8,-69,0,0,0
901,-69,-308,0,901,0,1.119056,10,-69,0,0,0
901,-69,-308,0,901,0,1.17011,10,-69,0,0,0
901,-69,-308,0,901,0,1.271715,10,-69,0,0,0
901,-69,-308,0,901,0,1.322935,10,-69,0,0,0
901,-70,-308,0,901,0,1.425093,10,-69,0,0,0
901,-70,-308,0,901,0,1.476358,10,-69,0,0,0
901,-72,-308,0,901,0,1.578428,10,-69,0,0,0
901,-72,-308,0,901,0,1.629,8,-69,0,0,0
901,-72,-308,0,901,0,1.731123,8,-69,0,0,0
901,-73,-308,0,901,0,1.782328,7,-69,0,0,0
901,-73,-308,0,901,0,1.884226,6,-69,0,0,0
901,-73,-308,0,901,0,1.935037,6,-69,0,0,0
901,-73,-308,0,901,0,2.088391,5,-69,0,0,0
901,-72,-308,0,901,0,2.241461,5,-69,0,0,0
901,-72,-308,0,901,0,2.291916,5,-69,0,0,0
901,-72,-308,0,901,0,2.394187,5,-69,28,0,1
901,-70,-308,0,901,0,2.44496,5,-67,49,0,1
901,-70,-308,0,901,0,2.547413,10,-62,50,0,1
901,-70,-308,0,901,0,2.598147,13,-59,50,0,1
901,-69,-308,0,901,0,2.700561,20,-54,50,0,1
901,-69,-308,0,901,0,2.751006,21,-51,49,0,1
901,-69,-308,0,901,0,2.853524,26,-46,50,0,1
901,-69,-308,0,901,0,2.904069,27,-43,50,0,1
901,-69,-308,0,901,0,3.006622,25,-37,50,0,1
901,-70,-308,0,901,0,3.057002,25,-35,50,0,1
901,-69,-308,0,901,0,3.159678,21,-30,50,0,1
901,-70,-308,0,901,0,3.210093,19,-27,50,0,1
901,-72,-308,0,901,0,3.363618,16,-17,144,0,1
901,-70,-308,0,901,0,3.414084,17,-10,150,0,1
901,-72,-308,0,901,0,3.516559,21,7,150,0,1
901,-73,-308,0,901,0,3.567086,24,14,150,0,1
901,-72,-308,0,901,0,3.669434,25,31,150,0,1
901,-73,-308,0,901,0,3.720167,26,38,150,0,1
901,-73,-308,0,901,0,3.822507,27,55,140,0,1
901,-73,-308,0,901,0,3.873264,25,60,99,0,1
901,-73,-308,0,901,0,3.975586,14,72,100,0,1
901,-73,-308,0,901,0,4.026287,11,76,100,0,1
901,-72,-308,0,901,0,4.128752,-2,87,100,0,1
901,-72,-308,0,901,0,4.17919,-7,92,100,0,1
901,-72,-308,0,901,0,4.281721,-14,107,182,0,1
