"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-69,-308,0,900,0,0,8,-70,0,0,0
900,-69,-308,0,900,0,0.047419,6,-70,0,0,0
900,-68,-308,0,900,0,0.150051,0,-70,0,0,0
900,-68,-308,0,900,0,0.200398,-1,-70,0,0,0
900,-68,-308,0,900,0,0.30298,-6,-70,0,0,0
900,-69,-308,0,900,0,0.353514,-7,-70,0,0,0
900,-69,-308,0,900,0,0.456145,-8,-70,0,0,0
900,-69,-308,0,900,0,0.506514,-7,-70,0,0,0
900,-70,-308,0,900,0,0.608683,-6,-70,0,0,0
900,-70,-308,0,900,0,0.659565,-5,-70,0,0,0
900,-72,-308,0,900,0,0.812906,0,-70,0,0,0
900,-72,-308,0,900,0,0.8636521,1,-70,0,0,0
900,-73,-308,0,900,0,0.965988,7,-70,0,0,0
900,-73,-308,0,900,0,1.016618,10,-70,0,0,0
900,-73,-308,0,900,0,1.118523,16,-70,0,0,1
900,-73,-308,0,900,0,1.169804,17,-70,23,0,1
900,-74,-308,0,900,0,1.272146,24,-61,100,0,1
900,-74,-308,0,900,0,1.323083,29,-56,100,0,1
900,-73,-308,0,900,0,1.425028,44,-45,100,0,1
900,-73,-308,0,900,0,1.475758,48,-40,100,0,1
900,-73,-308,0,900,0,1.578078,51,-29,100,0,1
900,-73,-308,0,900,0,1.628781,54,-24,100,0,1
900,-70,-308,0,900,0,1.731113,50,-13,100,0,1
900,-70,-308,0,900,0,1.781881,47,-8,100,0,1
900,-70,-308,0,900,0,1.934761,37,3,100,0,1
900,-69,-308,0,900,0,1.934761,31,8,100,0,1
900,-69,-308,0,900,0,2.088821,18,24,197,0,1
900,-70,-308,0,900,0,2.138937,16,33,199,0,1
900,-68,-308,0,900,0,2.241219,11,55,200,0,1
900,-68,-308,0,900,0,2.292017,10,64,200,0,1
900,-70,-308,0,900,0,2.394366,5,88,200,0,1
900,-69,-308,0,900,0,2.445202,1,97,200,0,1
900,-70,-308,0,900,0,2.546895,-1,120,200,0,1
900,-72,-308,0,900,0,2.598102,-2,129,190,0,1
900,-72,-308,0,900,0,2.699953,-11,144,100,0,1
900,-73,-308,0,900,0,2.751234,-14,148,100,0,1
900,-73,-308,0,900,0,2.853638,-26,160,100,0,1
900,-73,-308,0,900,0,2.904125,-30,165,100,0,1
900,-74,-308,0,900,0,3.057102,-33,176,100,0,1
900,-74,-308,0,900,0,3.057102,-33,181,100,0,1
900,-74,-308,0,900,0,3.210453,-31,192,100,0,1
900,-74,-308,0,900,0,3.260904,-27,196,100,0,1
900,-73,-308,0,900,0,3.363624,-18,208,100,0,1
900,-73,-308,0,900,0,3.413998,-13,212,100,0,1
900,-73,-308,0,900,0,3.516928,2,224,89,0,1
900,-73,-308,0,900,0,3.567077,8,227,45,0,1
900,-72,-308,0,900,0,3.6692,14,228,0,0,1
900,-72,-308,0,900,0,3.720048,16,228,0,0,1
900,-70,-308,0,900,0,3.822689,16,228,0,0,1
900,-70,-308,0,900,0,3.872996,16,228,0,0,1
