"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-80,-308,0,799,0,0,-5,-70,0,0,0
799,-80,-308,0,799,0,0.102411,-2,-70,0,0,0
799,-80,-308,0,799,0,0.152839,-1,-70,0,0,0
799,-81,-308,0,799,0,0.255411,4,-70,0,0,0
799,-81,-308,0,799,0,0.305923,5,-70,0,0,0
799,-82,-308,0,799,0,0.459545,12,-70,0,0,0
799,-84,-308,0,799,0,0.612339,17,-70,0,0,0
799,-84,-308,0,799,0,0.6629609,18,-70,0,0,0
799,-85,-308,0,799,0,0.765379,20,-70,0,0,0
799,-85,-308,0,799,0,0.8159879,20,-70,0,0,0
799,-85,-308,0,799,0,0.9188529,20,-70,0,0,0
799,-85,-308,0,799,0,0.9690129,19,-70,0,0,0
799,-85,-308,0,799,0,1.071465,16,-70,0,0,0
799,-85,-308,0,799,0,1.173622,11,-70,0,0,0
799,-84,-308,0,799,0,1.326175,6,-70,0,0,0
799,-82,-308,0,799,0,1.428517,1,-69,40,0,1
799,-82,-308,0,799,0,1.530159,5,-57,160,0,1
799,-82,-308,0,799,0,1.581263,12,-48,200,0,1
799,-81,-308,0,799,0,1.734417,39,-25,200,0,1
799,-81,-308,0,799,0,1.836587,60,-1,200,0,1
799,-80,-308,0,799,0,1.938708,74,22,200,0,1
799,-80,-308,0,799,0,1.9892,75,32,200,0,1
799,-81,-308,0,799,0,2.092029,73,55,200,0,1
799,-82,-308,0,799,0,2.142252,70,64,200,0,1
799,-81,-308,0,799,0,2.295697,54,87,200,0,1
799,-84,-308,0,799,0,2.346192,47,96,200,0,1
799,-85,-308,0,799,0,2.448707,23,118,200,0,1
799,-84,-308,0,799,0,2.499344,11,127,154,0,1
799,-86,-308,0,799,0,2.601754,-26,138,43,0,1
799,-86,-308,0,799,0,2.652749,-43,138,0,0,1
799,-84,-308,0,799,0,2.75472,-88,138,0,0,1
799,-85,-308,0,799,0,2.805296,-102,138,0,0,1
799,-85,-308,0,799,0,2.907733,-127,138,0,0,1
799,-84,-308,0,799,0,2.958406,-130,138,0,0,1
799,-84,-308,0,799,0,3.060727,-125,138,0,0,1
799,-84,-308,0,799,0,3.111727,-118,138,0,0,1
799,-82,-308,0,799,0,3.213823,-84,138,0,0,1
799,-82,-308,0,799,0,3.264314,-68,138,0,0,1
799,-81,-308,0,799,0,3.418032,-16,138,0,0,1
