"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-84,-308,0,799,0,0,0,-70,0,0,0
799,-84,-308,0,799,0,0.050506,-2,-70,0,0,0
799,-82,-308,0,799,0,0.203767,-6,-70,0,0,0
799,-82,-308,0,799,0,0.254677,-7,-70,0,0,0
799,-81,-308,0,799,0,0.356376,-8,-70,0,0,0
799,-81,-308,0,799,0,0.40761,-8,-70,0,0,0
799,-80,-308,0,799,0,0.509806,-6,-70,0,0,0
799,-80,-308,0,799,0,0.560664,-4,-70,0,0,0
799,-80,-308,0,799,0,0.663052,1,-70,0,0,0
799,-81,-308,0,799,0,0.713654,4,-70,0,0,0
799,-81,-308,0,799,0,0.815783,10,-70,0,0,0
799,-81,-308,0,799,0,0.866798,13,-70,0,0,0
799,-82,-308,0,799,0,0.968862,18,-70,0,0,0
799,-82,-308,0,799,0,1.019673,20,-70,0,0,0
799,-84,-308,0,799,0,1.121899,23,-70,0,0,0
799,-84,-308,0,799,0,1.172849,24,-70,0,0,0
799,-85,-308,0,799,0,1.326227,24,-70,0,0,0
799,-85,-308,0,799,0,1.427973,20,-70,0,0,0
799,-85,-308,0,799,0,1.530128,16,-70,0,0,1
799,-85,-308,0,799,0,1.580696,13,-70,40,0,1
799,-85,-308,0,799,0,1.683221,12,-58,154,0,1
799,-85,-308,0,799,0,1.733719,17,-50,200,0,1
799,-84,-308,0,799,0,1.887119,41,-27,200,0,1
799,-82,-308,0,799,0,1.887119,48,-17,200,0,1
799,-84,-308,0,799,0,2.040086,60,4,200,0,1
799,-82,-308,0,799,0,2.090918,66,14,200,0,1
799,-80,-308,0,799,0,2.193412,66,36,200,0,1
799,-81,-308,0,799,0,2.243932,63,46,200,0,1
799,-81,-308,0,799,0,2.346102,57,69,200,0,1
799,-80,-308,0,799,0,2.448159,37,93,200,0,1
799,-82,-308,0,799,0,2.601256,16,117,200,0,1
799,-81,-308,0,799,0,2.651802,5,126,200,0,1
799,-82,-308,0,799,0,2.754246,-19,148,200,0,1
799,-84,-308,0,799,0,2.804833,-26,158,200,0,1
799,-82,-308,0,799,0,2.907293,-43,180,200,0,1
799,-82,-308,0,799,0,2.957881,-47,189,199,0,1
799,-85,-308,0,799,0,3.060602,-51,212,200,0,1
799,-85,-308,0,799,0,3.110904,-51,221,190,0,1
799,-86,-308,0,799,0,3.213415,-47,236,79,0,1
799,-86,-308,0,799,0,3.263957,-47,239,31,0,1
799,-86,-308,0,799,0,3.366238,-55,239,0,0,1
799,-86,-308,0,799,0,3.416914,-55,239,0,0,1
799,-86,-308,0,799,0,3.518939,-51,239,0,0,1
799,-85,-308,0,799,0,3.56986,-48,239,0,0,1
799,-85,-308,0,799,0,3.722954,-31,239,0,0,1
799,-85,-308,0,799,0,3.722954,-24,239,0,0,1
799,-84,-308,0,799,0,3.876339,0,239,0,0,1
799,-84,-308,0,799,0,3.927215,10,239,0,0,1
799,-82,-308,0,799,0,4.029395,35,239,0,0,1
799,-82,-308,0,799,0,4.080117,43,239,0,0,1
799,-81,-308,0,799,0,4.181931,61,239,0,0,1
799,-81,-308,0,799,0,4.233217,64,239,0,0,1
799,-81,-308,0,799,0,4.335446,70,239,0,0,1
799,-81,-308,0,799,0,4.386154,70,239,0,0,1
799,-82,-308,0,799,0,4.488408,62,239,0,0,1
799,-82,-308,0,799,0,4.539423,56,239,0,0,1
799,-84,-308,0,799,0,4.641463,37,239,0,0,1
799,-84,-308,0,799,0,4.692284,27,239,0,0,1
799,-85,-308,0,799,0,4.845702,4,239,0,0,1
799,-85,-308,0,799,0,4.845702,-6,239,0,0,1
799,-85,-308,0,799,0,4.998676,-29,239,0,0,1
799,-86,-308,0,799,0,5.049227,-36,239,0,0,1
799,-86,-308,0,799,0,5.151319,-49,239,0,0,1
799,-86,-308,0,799,0,5.202078,-51,239,0,0,1
799,-86,-308,0,799,0,5.304719,-53,239,0,0,1
799,-86,-308,0,799,0,5.355357,-50,239,0,0,1
799,-85,-308,0,799,0,5.45783,-38,239,0,0,1
799,-85,-308,0,799,0,5.508153,-31,239,0,0,1
799,-84,-308,0,799,0,5.61078,-10,239,0,0,1
799,-84,-308,0,799,0,5.661219,0,239,0,0,1
799,-82,-308,0,799,0,5.763442,24,239,0,0,1
799,-82,-308,0,799,0,5.814283,33,239,0,0,1
799,-81,-308,0,799,0,5.916832,53,239,0,0,1
799,-81,-308,0,799,0,5.967349,59,239,0,0,1
799,-81,-308,0,799,0,6.121049,68,239,0,0,1
799,-81,-308,0,799,0,6.171284,69,239,0,0,1
799,-81,-308,0,799,0,6.273771,64,239,0,0,1
799,-82,-308,0,799,0,6.324455,61,239,0,0,1
799,-82,-308,0,799,0,6.426831,44,239,0,0,1
799,-84,-308,0,799,0,6.477394,37,239,0,0,1
799,-84,-308,0,799,0,6.579795,13,239,0,0,1
799,-85,-308,0,799,0,6.630404,5,239,0,0,1
799,-85,-308,0,799,0,6.732806,-19,239,0,0,1
799,-85,-308,0,799,0,6.783624,-26,239,0,0,1
799,-86,-308,0,799,0,6.885883,-43,239,0,0,1
799,-86,-308,0,799,0,6.936389,-47,239,0,0,1
