"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-118,-308,0,601,0,0,6,-71,0,0,0
601,-118,-308,0,601,0,0.101901,5,-71,0,0,0
601,-118,-308,0,601,0,0.25486,5,-71,0,0,0
601,-118,-308,0,601,0,0.3568,6,-71,0,0,0
601,-117,-308,0,601,0,0.463158,8,-71,0,0,0
601,-117,-308,0,601,0,0.61206,11,-71,0,0,0
601,-116,-308,0,601,0,0.713939,12,-71,0,0,0
601,-116,-308,0,601,0,0.8160769,13,-71,0,0,0
601,-116,-308,0,601,0,0.9690589,13,-71,0,0,0
601,-116,-308,0,601,0,1.071326,12,-71,0,0,0
601,-117,-308,0,601,0,1.173056,11,-71,0,0,0
601,-118,-308,0,601,0,1.32603,8,-71,0,0,0
601,-118,-308,0,601,0,1.428097,6,-71,0,0,0
601,-118,-308,0,601,0,1.581235,5,-71,0,0,0
601,-119,-308,0,601,0,1.683258,5,-71,0,0,0
601,-118,-308,0,601,0,1.78514,6,-71,0,0,0
601,-118,-308,0,601,0,1.886762,7,-71,0,0,0
601,-117,-308,0,601,0,2.04019,10,-71,0,0,0
601,-117,-308,0,601,0,2.142328,11,-71,0,0,0
601,-116,-308,0,601,0,2.29542,12,-71,0,0,0
601,-116,-308,0,601,0,2.396814,13,-71,0,0,0
601,-116,-308,0,601,0,2.499223,13,-71,0,0,0
601,-116,-308,0,601,0,2.652356,12,-71,0,0,0
601,-117,-308,0,601,0,2.754494,10,-71,0,0,0
601,-117,-308,0,601,0,2.856295,8,-71,0,0,0
601,-118,-308,0,601,0,3.009227,6,-71,0,0,0
601,-118,-308,0,601,0,3.111613,5,-71,0,0,0
601,-118,-308,0,601,0,3.213717,5,-71,0,0,0
601,-118,-308,0,601,0,3.366196,6,-71,0,0,0
601,-118,-308,0,601,0,3.468453,7,-71,0,0,0
601,-117,-308,0,601,0,3.57041,10,-71,0,0,0
601,-117,-308,0,601,0,3.723608,12,-71,0,0,0
601,-116,-308,0,601,0,3.825731,13,-71,0,0,0
601,-116,-308,0,601,0,3.978798,13,-71,0,0,0
601,-116,-308,0,601,0,4.080772,13,-71,0,0,0
601,-116,-308,0,601,0,4.182251,11,-71,0,0,0
601,-117,-308,0,601,0,4.335619,10,-71,0,0,0
601,-117,-308,0,601,0,4.437714,7,-71,0,0,0
601,-118,-308,0,601,0,4.539591,6,-71,0,0,0
601,-118,-308,0,601,0,4.692567,5,-71,0,0,0
601,-118,-308,0,601,0,4.794517,5,-71,0,0,0
601,-118,-308,0,601,0,4.896797,6,-71,0,0,0
601,-118,-308,0,601,0,5.049864,8,-71,0,0,0
601,-118,-308,0,601,0,5.151667,10,-71,0,0,0
601,-117,-308,0,601,0,5.253728,12,-71,0,0,0
601,-116,-308,0,601,0,5.406341,13,-71,0,0,0
601,-116,-308,0,601,0,5.508872,13,-71,0,0,0
