file,part,shaper,tf_ms,cable_nom_mm,trial,applied_pattern,applied_amps,applied_delays_s,applied_amp_sum,mirror_amps,mirror_matches_shaper,tf_inferred_s,v_top_mm_s,plateau_fracs,move_dist_mm,rise_time_s
Bride_ZVD_.5_.5_.91_1200_v1.csv,B,ZVD,1500.0,1200.0,1.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.918, 1.862]",1.25,"[-0.25, -0.5, -0.5]",True,1.48,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",371.0,3.315
Bride_ZVD_.5_.5_.91_1200_v2.csv,B,ZVD,1500.0,1200.0,2.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.919, 1.888]",1.25,"[-0.25, -0.5, -0.5]",True,1.48,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",370.0,3.265
Bride_ZVD_.5_.5_.91_1200_v3.csv,B,ZVD,1500.0,1200.0,3.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.943, 1.836]",1.25,"[-0.25, -0.5, -0.5]",True,1.428,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",365.0,3.217
Bride_ZVD_.5_.5_.91_600_v1.csv,B,ZVD,1500.0,600.0,1.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.893, 1.862]",1.25,"[-0.25, -0.5, -0.5]",True,1.505,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",365.0,3.265
Bride_ZVD_.5_.5_.91_600_v2.csv,B,ZVD,1500.0,600.0,2.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.893, 1.913]",1.25,"[-0.25, -0.5, -0.5]",True,1.505,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",371.0,3.367
Bride_ZVD_.5_.5_.91_600_v3.csv,B,ZVD,1500.0,600.0,3.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.969, 1.938]",1.25,"[-0.25, -0.5, -0.5]",True,1.505,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",371.0,3.367
Bride_ZVD_.5_.5_.91_900_v1.csv,B,ZVD,1500.0,900.0,1.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.919, 1.887]",1.25,"[-0.25, -0.5, -0.5]",True,1.428,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",372.0,3.367
Bride_ZVD_.5_.5_.91_900_v2.csv,B,ZVD,1500.0,900.0,2.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.918, 1.887]",1.25,"[-0.25, -0.5, -0.5]",True,1.479,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",371.0,3.366
Bride_ZVD_.5_.5_.91_900_v3.csv,B,ZVD,1500.0,900.0,3.0,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[0.25, 0.5, 0.5]","[0.0, 0.841, 1.861]",1.25,"[-0.25, -0.5, -0.5]",True,1.453,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",371.0,3.316
Bride_ZV_.5_.5_.91_1200_v1.csv,B,ZV,1500.0,1200.0,1.0,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,"[-0.5, -0.5]",True,1.403,200.0,"[0.5, 1.0, 0.5]",296.0,2.346
