time_from_move_start_s,Unshaped_velocity_mm_s,Unshaped_pct_of_top_speed,ZV_velocity_mm_s,ZV_pct_of_top_speed,ZVD_velocity_mm_s,ZVD_pct_of_top_speed
-0.8,0.0,0.0,0.0,0.0,0.0,0.0
-0.75,0.0,0.0,0.0,0.0,0.0,0.0
-0.7,0.0,0.0,0.0,0.0,0.0,0.0
-0.65,0.0,0.0,0.0,0.0,0.0,0.0
-0.6,0.0,0.0,0.0,0.0,0.0,0.0
-0.55,0.0,0.0,0.0,0.0,0.0,0.0
-0.5,0.0,0.0,0.0,0.0,0.0,0.0
-0.45,0.0,0.0,0.0,0.0,0.0,0.0
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.35,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.15,0.1,0.0,0.0,0.0,0.0,0.0
-0.1,1.6,0.8,0.0,0.0,0.6,0.3
-0.05,3.9,2.0,0.6,0.3,14.3,7.2
0.0,52.0,26.0,23.0,11.5,28.0,14.0
0.05,88.2,44.1,60.6,30.3,48.7,24.3
0.1,124.5,62.2,98.2,49.1,49.5,24.7
0.15,160.7,80.3,100.0,50.0,50.0,25.0
0.2,174.3,87.2,100.0,50.0,50.0,25.0
0.25,186.4,93.2,100.0,50.0,50.0,25.0
0.3,198.5,99.3,100.0,50.0,50.0,25.0
0.35,200.0,100.0,100.0,50.0,49.1,24.6
0.4,200.0,100.0,100.0,50.0,49.4,24.7
0.45,200.0,100.0,100.0,50.0,49.9,25.0
0.5,200.0,100.0,100.0,50.0,50.0,25.0
0.55,200.0,100.0,100.0,50.0,50.0,25.0
0.6,200.0,100.0,100.0,50.0,50.0,25.0
0.65,200.0,100.0,100.0,50.0,50.0,25.0
0.7,200.0,100.0,100.0,50.0,50.0,25.0
0.75,200.0,100.0,100.0,50.0,50.0,25.0
0.8,200.0,100.0,122.1,61.0,50.0,25.0
0.85,200.0,100.0,153.5,76.8,70.9,35.4
0.9,200.0,100.0,185.0,92.5,101.5,50.7
0.95,200.0,100.0,198.2,99.1,132.1,66.1
1.0,200.0,100.0,199.3,99.7,147.6,73.8
1.05,200.0,100.0,199.8,99.9,150.0,75.0
1.1,200.0,100.0,200.0,100.0,150.0,75.0
1.15,200.0,100.0,200.0,100.0,150.0,75.0
1.2,200.0,100.0,200.0,100.0,150.0,75.0
1.25,200.0,100.0,200.0,100.0,150.0,75.0
1.3,200.0,100.0,200.0,100.0,150.0,75.0
1.35,200.0,100.0,200.0,100.0,147.7,73.8
1.4,200.0,100.0,195.5,97.8,142.8,71.4
1.45,178.4,89.2,170.8,85.4,122.5,61.2
1.5,128.3,64.1,126.6,63.3,99.2,49.6
