file,md5,part,shaper,tf_ms,cable_nom_mm,cable_infile_mm,trial,name_flagged_del,n_samples,duration_s,median_dt_s,n_moves,move_dist_mm,first_move_t0,first_move_t1,dup_group,is_duplicate_copy,cable_matches_name,notes,use
Bride_ZVD_.5_.5_.91_1200_v1.csv,4478b4bd9f15bb6783fe47fabe277ccf,B,ZVD,1500.0,1200.0,1201.0,1.0,False,736,48.71,0.0511,2,371.0,0.97,4.33,,False,True,,True
Bride_ZVD_.5_.5_.91_1200_v2.csv,84650328e41a0b83d2b31c5a619d4f0e,B,ZVD,1500.0,1200.0,1201.0,2.0,False,516,33.61,0.0511,2,-371.0,3.77,7.09,,False,True,,True
Bride_ZVD_.5_.5_.91_1200_v3.csv,45edf9c0766f8822afcd2df93b106a58,B,ZVD,1500.0,1200.0,1201.0,3.0,False,517,33.2,0.0511,2,365.0,1.43,4.69,"Bride_ZVD_.5_.5_.91_1200_v3.csv, ZVD 3400 failure.csv",False,True,,True
Bride_ZVD_.5_.5_.91_600_v1.csv,f17765d73761f68b26e7114aba2e8575,B,ZVD,1500.0,600.0,603.0,1.0,False,232,28.2,0.1022,2,-372.0,1.53,4.79,,False,True,,True
Bride_ZVD_.5_.5_.91_600_v2.csv,a7be0d0a8ce5df9dc40dd38d8db80ddf,B,ZVD,1500.0,600.0,603.0,2.0,False,218,26.52,0.1022,2,371.0,7.09,10.45,,False,True,,True
Bride_ZVD_.5_.5_.91_600_v3.csv,f56a0f8c863831543556db38305ee093,B,ZVD,1500.0,600.0,603.0,3.0,False,258,31.16,0.1022,2,371.0,0.71,4.08,,False,True,,True
Bride_ZVD_.5_.5_.91_900_v1.csv,96f95be3cdaf465ed581955b1104b6d5,B,ZVD,1500.0,900.0,901.0,1.0,False,288,24.18,0.1019,2,372.0,1.94,5.31,,False,True,,True
Bride_ZVD_.5_.5_.91_900_v2.csv,af4ee24704d211c2e462679f98828210,B,ZVD,1500.0,900.0,901.0,2.0,False,435,36.72,0.1018,2,371.0,2.39,5.76,,False,True,,True
Bride_ZVD_.5_.5_.91_900_v3.csv,d5e31c1df675d625b7f771a96639fee6,B,ZVD,1500.0,900.0,901.0,3.0,False,421,35.86,0.1021,2,371.0,0.71,4.08,,False,True,,True
Bride_ZV_.5_.5_.91_1200_v1.csv,00af29c4643bb90285ac0399af7f855c,B,ZV,1500.0,1200.0,1200.0,1.0,False,288,18.87,0.0511,2,296.0,0.71,3.06,,False,True,,True
Bride_ZV_.5_.5_.91_1200_v2.csv,7c2df5359fba39681891e8c23a5b13a0,B,ZV,1500.0,1200.0,1200.0,2.0,False,328,21.58,0.0511,2,295.0,1.73,4.08,,False,True,,True
Bride_ZV_.5_.5_.91_1200_v3.csv,e43eb7394854a3945e9d5c6ba7c9a7b2,B,ZV,1500.0,1200.0,1200.0,3.0,False,424,28.1,0.0511,2,296.0,1.37,3.77,,False,True,,True
Bride_ZV_.5_.5_.91_600_v1.csv,75ce3d82d2d447c49f14c7d584714b5f,B,ZV,1500.0,600.0,603.0,1.0,False,178,21.73,0.1023,2,289.0,1.22,3.47,,False,True,,True
Bride_ZV_.5_.5_.91_600_v2.csv,21e970ca2cba662783dc223fbca7b948,B,ZV,1500.0,600.0,603.0,2.0,False,192,23.52,0.1022,2,297.0,0.97,3.37,,False,True,,True
Bride_ZV_.5_.5_.91_600_v3.csv,ed0dc2874bc2f6f6ceafa9213261d539,B,ZV,1500.0,600.0,603.0,3.0,False,265,32.13,0.1022,2,-297.0,3.47,5.76,,False,True,,True
Bride_ZV_.5_.5_.91_900_v1.csv,7c852d8e286aa65cb7c6a7f332ac8ad5,B,ZV,1500.0,900.0,900.0,1.0,False,272,22.9,0.1019,2,297.0,5.76,8.16,,False,True,,True
Bride_ZV_.5_.5_.91_900_v2.csv,5501ecd7cfc38505315b52b8749d7d23,B,ZV,1500.0,900.0,900.0,2.0,False,280,23.66,0.1018,2,297.0,1.17,3.57,,False,True,,True
Bride_ZV_.5_.5_.91_900_v3.csv,4d74d9fb83ed115e657502beb742dd41,B,ZV,1500.0,900.0,900.0,3.0,False,280,24.08,0.102,2,296.0,2.09,4.49,,False,True,,True
Bridge_100_-100_1100_v1.csv,a8c0b7785136f5d448db8f80e456e77b,A,Unshaped,1100.0,800.0,799.0,1.0,False,1537,129.36,0.1019,5,-755.0,1.43,2.6,,False,True,"5 moves in one log - session file, segmented per move",True
