file,md5,timestamp,shaper,n_impulses,impulse_amps,impulse_delays_s,impulse_amp_sum,shaper_read_from,cmd_truncated,shaper_duration_s,trolley_mm,trolley_nom_mm,hoist_mm,cable_mm,slew_start_deg,slew_end_deg,slew_travel_deg,move_t0,move_t1,move_dur_s,n_blocks,motion_block_t,vision_block_t,vision_n,notes,use
2026-09-10_16-17-33_636258.xlsx,53f0d8e02b5ffe4573d4b4612d194582,2026-09-10 16-17-33,Unshaped,1,[1.0],[0.0],1.0,rise,False,0.0,501.3,500,513.0,598.7,79.7,208.8,129.1,1.9,6.09,4.2,2,0.17-15.34,21.21-36.63,580,,True
2026-09-10_16-19-04_292991.xlsx,2b9fa6e99bf5df2c85ee31cfa531d5aa,2026-09-10 16-19-04,Unshaped,1,[1.0],[0.0],1.0,rise,False,0.0,701.1,700,513.0,599.0,80.0,208.8,128.9,2.33,6.53,4.2,2,0.02-17.42,21.22-38.68,671,,True
2026-09-10_16-20-10_651855.xlsx,d0472236d8a09d00addcc23536db3983,2026-09-10 16-20-10,Unshaped,1,[1.0],[0.0],1.0,rise,False,0.0,900.2,900,513.0,598.8,79.7,208.8,129.1,1.98,6.21,4.23,2,0.00-16.41,21.21-37.67,656,,True
2026-09-10_16-29-26_132651.xlsx,0b3d4baedb4be4d4da9c7d17dc2935b1,2026-09-10 16-29-26,ZV,2,"[0.5, 0.5]","[0.0, 0.84]",1.0,rise,False,0.84,499.8,500,513.0,597.7,80.5,237.9,157.4,2.0,7.04,5.03,2,0.12-17.75,21.21-38.99,680,,True
2026-09-10_16-30-43_967278.xlsx,c31a08217c0eca18f99c0b1856dd7bc5,2026-09-10 16-30-43,ZV,2,"[0.5, 0.5]","[0.0, 0.848]",1.0,rise,False,0.848,699.8,700,513.0,596.0,81.3,238.3,157.0,5.17,10.3,5.13,1,0.08-21.22,21.22-46.44,1104,,True
2026-09-10_16-33-07_186392.xlsx,129c83b1459bcf4a923e4cf2cfbaf5d0,2026-09-10 16-33-07,ZV,2,"[0.5, 0.5]","[0.0, 0.84]",1.0,rise,False,0.84,889.8,900,513.0,597.1,81.5,238.7,157.1,1.91,7.04,5.13,1,0.14-21.22,21.22-45.88,1052,,True
2026-09-10_16-46-20_866691.xlsx,bc0cdf116bff00079da03584a51bf445,2026-09-10 16-46-20,ZVD,3,"[0.25, 0.5, 0.5]","[0.0, 0.84, 1.709]",1.25,rise,False,1.709,499.6,500,513.1,597.9,79.8,223.2,143.4,2.16,8.04,5.89,2,0.11-15.62,21.21-36.89,585,"as-run impulse amplitudes sum to 1.25, not 1.00",True
2026-09-10_16-47-51_867846.xlsx,67305134d0e9f46ee3c08c36195f7f6e,2026-09-10 16-47-51,ZVD,3,"[0.25, 0.5, 0.5]","[0.0, 0.87, 1.716]",1.25,rise,False,1.716,700.6,700,513.1,596.8,80.3,223.9,143.6,3.7,9.53,5.83,2,0.12-15.19,21.20-36.60,533,"as-run impulse amplitudes sum to 1.25, not 1.00",True
2026-09-10_16-50-26_879158.xlsx,977cf20afffbbf6c8731811a1c284a5b,2026-09-10 16-50-26,ZVD,3,"[0.25, 0.5, 0.5]","[0.0, 0.839, 1.709]",1.25,rise,False,1.709,900.2,900,513.1,597.5,92.2,235.9,143.8,1.73,7.61,5.88,1,0.16-21.20,21.22-45.62,1069,"as-run impulse amplitudes sum to 1.25, not 1.00",True
2026-09-10_16-53-35_974791.xlsx,9b9abe9f4854e970c727b67b9bf893a4,2026-09-10 16-53-35,Two-mode ZV,4,"[0.25, 0.25, 0.25, 0.25]","[0.0, 0.27, 0.84, 1.11]",1.0,rise,False,1.11,499.7,500,513.1,597.0,81.1,209.7,128.6,4.57,9.71,5.14,1,0.16-21.20,21.21-44.47,956,,True
2026-09-10_16-55-03_032999.xlsx,3ea35cea7c7aa6462142ead2f34845ef,2026-09-10 16-55-03,Two-mode ZV,4,"[0.25, 0.25, 0.25, 0.25]","[0.0, 2.006, 2.246, 2.846]",1.0,fall,True,2.846,698.6,700,513.1,596.6,124.6,209.4,84.8,0.19,3.48,3.3,1,0.19-21.21,21.22-42.94,821,"recording starts mid-move - move truncated, slew travel is short; residual swing still usable; shaper read from the falling staircase; its impulse DELAYS in this row are not trustworthy (amplitudes are)",True
2026-09-10_16-56-12_839907.xlsx,4e868abb51da1b6d780c8b2cd1848383,2026-09-10 16-56-12,Two-mode ZV,4,"[0.25, 0.25, 0.25, 0.25]","[0.0, 0.27, 0.865, 1.135]",1.0,rise,False,1.135,899.0,900,513.1,597.5,80.6,209.4,128.8,1.5,6.63,5.13,2,0.14-19.20,21.19-40.50,766,,True
