w_rad_s,f_hz,cable_len_equiv_m,bridge_A_unshaped_tf1.1,bridge_A_unshaped_tf1.6,bridge_A_unshaped_tf2.0,bridge_A_ZV_tf1.1,bridge_A_ZV_tf1.6,bridge_A_ZV_tf2.0,bridge_B_unshaped,bridge_B_ZV_0.91,bridge_B_ZVD_asrun_0.91,bridge_B_ZVD_textbook_0.91,bridge_B_EI5_0.91,tower_ZV_0.84,tower_ZVD_asrun,tower_ZVD_textbook,tower_2modeZV,shaperonly_ZV_0.91,shaperonly_ZVD_textbook_0.91,shaperonly_ZVD_asrun_0.91,shaperonly_ZV_0.84,shaperonly_2modeZV
0.5,0.079577,39.2266,1.0,1.0,1.0,0.974794,0.974794,0.974794,1.0,0.974233,1.178827,0.949131,0.946587,0.978031,1.186702,0.954996,0.975804,0.974233,0.949131,0.943061,0.978031,0.975804
0.512927,0.081635,37.274241,1.0,1.0,1.0,0.97348,0.97348,0.97348,1.0,0.97289,1.175169,0.946515,0.94384,0.976885,1.183441,0.952677,0.974544,0.97289,0.946515,0.940135,0.976885,0.974544
0.525855,0.083692,35.464093,1.0,1.0,1.0,0.972132,0.972132,0.972132,1.0,0.971513,1.171425,0.943837,0.941029,0.97571,1.180103,0.950302,0.973252,0.971513,0.943837,0.93714,0.97571,0.973252
0.538782,0.08575,33.782673,1.0,1.0,1.0,0.970752,0.970752,0.970752,1.0,0.970102,1.167596,0.941098,0.938153,0.974506,1.176687,0.947872,0.971929,0.970102,0.941098,0.934077,0.974506,0.971929
0.55171,0.087807,32.218057,1.0,1.0,1.0,0.969339,0.969339,0.969339,1.0,0.968658,1.163682,0.938298,0.935212,0.973273,1.173195,0.945388,0.970575,0.968658,0.938298,0.930946,0.973273,0.970575
0.564637,0.089865,30.759672,1.0,1.0,1.0,0.967893,0.967893,0.967893,1.0,0.96718,1.159683,0.935437,0.932209,0.972012,1.169626,0.942849,0.96919,0.96718,0.935437,0.927747,0.972012,0.96919
0.577565,0.091922,29.398115,1.0,1.0,1.0,0.966415,0.966415,0.966415,1.0,0.965668,1.155601,0.932516,0.929141,0.970722,1.165981,0.940256,0.967773,0.965668,0.932516,0.924481,0.970722,0.967773
0.590492,0.09398,28.125,1.0,1.0,1.0,0.964903,0.964903,0.964903,1.0,0.964124,1.151435,0.929535,0.926011,0.969404,1.162261,0.937609,0.966325,0.964124,0.929535,0.921148,0.969404,0.966325
0.60342,0.096037,26.932829,1.0,1.0,1.0,0.963359,0.963359,0.963359,1.0,0.962546,1.147186,0.926494,0.922819,0.968057,1.158466,0.934909,0.964846,0.962546,0.926494,0.917749,0.968057,0.964846
0.616347,0.098095,25.814883,1.0,1.0,1.0,0.961783,0.961783,0.961783,1.0,0.960934,1.142855,0.923395,0.919565,0.966681,1.154596,0.932156,0.963337,0.960934,0.923395,0.914284,0.966681,0.963337
0.629274,0.100152,24.765127,1.0,1.0,1.0,0.960174,0.960174,0.960174,1.0,0.95929,1.138443,0.920237,0.916249,0.965277,1.150653,0.92935,0.961796,0.95929,0.920237,0.910755,0.965277,0.961796
0.642202,0.10221,23.778124,1.0,1.0,1.0,0.958532,0.958532,0.958532,1.0,0.957612,1.13395,0.917021,0.912872,0.963844,1.146636,0.926491,0.960224,0.957612,0.917021,0.90716,0.963844,0.960224
