file,shaper,trolley_nom_mm,cable_mm,f1_theory_hz,f2_theory_hz,pred_m1_from_velocity_rad,pred_m2_from_velocity_rad,tan_m1_amp_pp_rad,tan_m1_amp_pp_deg,tan_m1_rms_rad,tan_m1_f_meas_hz,tan_m1_f_err_pct,tan_m1_f_unreliable,tan_m2_amp_pp_rad,tan_m2_amp_pp_deg,tan_m2_rms_rad,tan_m2_f_meas_hz,tan_m2_f_err_pct,tan_m2_f_unreliable,rad_m1_amp_pp_rad,rad_m1_amp_pp_deg,rad_m1_rms_rad,rad_m1_f_meas_hz,rad_m1_f_err_pct,rad_m1_f_unreliable,rad_m2_amp_pp_rad,rad_m2_amp_pp_deg,rad_m2_rms_rad,rad_m2_f_meas_hz,rad_m2_f_err_pct,rad_m2_f_unreliable,pred_m1_from_velocity_measfreq_rad,pred_m1_freq_sensitivity,pred_m2_from_velocity_measfreq_rad,pred_m2_freq_sensitivity
2026-09-10_16-17-33_636258.xlsx,Unshaped,500,598.7,0.5832,1.9061,0.49849,0.132,0.27592,15.81,0.06303,0.5371,-7.9,False,0.04221,2.42,0.009,1.6235,-14.8,False,0.14972,8.58,0.04256,0.5371,-7.9,False,0.02236,1.28,0.00404,1.6602,-12.9,False,0.27318,0.55,0.17431,1.32
2026-09-10_16-19-04_292991.xlsx,Unshaped,700,599.0,0.5831,1.906,0.50001,0.12883,0.387,22.17,0.08433,0.5249,-10.0,False,0.05614,3.22,0.00927,1.6113,-15.5,False,0.19927,11.42,0.05598,0.5249,-10.0,False,0.0344,1.97,0.0066,1.6235,-14.8,False,0.18723,0.37,0.17135,1.33
2026-09-10_16-20-10_651855.xlsx,Unshaped,900,598.8,0.5832,1.9061,0.50272,0.12719,0.46397,26.58,0.11033,0.5249,-10.0,False,0.06987,4.0,0.01259,1.6235,-14.8,False,0.28472,16.31,0.07191,0.5249,-10.0,False,0.04222,2.42,0.00764,1.6357,-14.2,False,0.197,0.39,0.17148,1.35
2026-09-10_16-29-26_132651.xlsx,ZV,500,597.7,0.5836,1.9064,0.29475,0.09868,0.1521,8.71,0.03944,0.5371,-8.0,False,0.04819,2.76,0.01159,1.5869,-16.8,False,0.14526,8.32,0.03396,0.5371,-8.0,False,0.0254,1.46,0.00441,1.6357,-14.2,False,0.60815,2.06,0.14613,1.48
2026-09-10_16-30-43_967278.xlsx,ZV,700,596.0,0.5842,1.907,0.28326,0.09871,0.19724,11.3,0.04199,0.531,-9.1,False,0.06435,3.69,0.01091,1.5808,-17.1,False,0.19554,11.2,0.03808,0.5432,-7.0,False,0.03156,1.81,0.0048,1.6357,-14.2,False,0.62641,2.21,0.14923,1.51
2026-09-10_16-33-07_186392.xlsx,ZV,900,597.1,0.5838,1.9066,0.28556,0.09567,0.23579,13.51,0.0578,0.5371,-8.0,False,0.07776,4.46,0.01516,1.6113,-15.5,False,0.24428,14.0,0.05587,0.5493,-5.9,False,0.04131,2.37,0.00772,1.6663,-12.6,False,0.59929,2.1,0.08572,0.9
2026-09-10_16-46-20_866691.xlsx,ZVD,500,597.9,0.5835,1.9064,0.00792,0.04934,0.02565,1.47,0.00556,0.4883,-16.3,False,0.03217,1.84,0.00606,1.5991,-16.1,False,0.03472,1.99,0.0076,0.4639,-20.5,False,0.01036,0.59,0.00213,1.6602,-12.9,False,0.06887,8.7,0.06792,1.38
2026-09-10_16-47-51_867846.xlsx,ZVD,700,596.8,0.5839,1.9067,0.01168,0.04365,0.04011,2.3,0.00821,0.4883,-16.4,False,0.04369,2.5,0.0083,1.5625,-18.1,False,0.04479,2.57,0.00884,0.4517,-22.7,False,0.01225,0.7,0.00256,1.6479,-13.6,False,0.07652,6.55,0.08077,1.85
2026-09-10_16-50-26_879158.xlsx,ZVD,900,597.5,0.5837,1.9065,0.00858,0.042,0.05891,3.38,0.0122,0.5188,-11.1,False,0.0515,2.95,0.00877,1.593,-16.4,False,0.04962,2.84,0.01113,0.5371,-8.0,False,0.01283,0.74,0.00239,1.6785,-12.0,False,0.06081,7.09,0.07163,1.71
2026-09-10_16-53-35_974791.xlsx,Two-mode ZV,500,597.0,0.5839,1.9067,0.01174,0.01231,0.07009,4.02,0.01454,0.5249,-10.1,False,0.01368,0.78,0.0021,1.5991,-16.1,False,0.05104,2.92,0.01133,0.5249,-10.1,False,0.00643,0.37,0.00098,1.5808,-17.1,False,0.02579,2.2,0.02541,2.06
2026-09-10_16-55-03_032999.xlsx,Two-mode ZV,700,596.6,0.584,1.9068,0.3105,0.09205,0.09259,5.31,0.02605,0.531,-9.1,False,0.02032,1.16,0.00329,1.593,-16.5,False,0.07781,4.46,0.02211,0.5371,-8.0,False,0.02182,1.25,0.00317,1.6174,-15.2,False,0.36973,1.19,0.12108,1.32
2026-09-10_16-56-12_839907.xlsx,Two-mode ZV,900,597.5,0.5837,1.9065,0.02197,0.01381,0.14083,8.07,0.03323,0.5249,-10.1,False,0.01946,1.12,0.00352,1.6113,-15.5,False,0.08763,5.02,0.0236,0.5249,-10.1,False,0.00584,0.33,0.00124,1.6113,-15.5,False,0.02896,1.32,0.0285,2.06
