file,shaper,trolley_nom_mm,impulse_amps,impulse_amp_sum,impulse_delays_s,shaper_duration_s,cmd_area_deg,actual_travel_deg,travel_over_cmd_area,cmd_peak_deg_s,actual_peak_deg_s,rate_saturated,first_step_cmd_deg_s,first_step_overshoot_pct,tf_effective_s,pred_m1_from_velocity_rad,pred_m1_from_velocity_measfreq_rad,pred_m1_freq_sensitivity,tan_m1_amp_pp_rad,notes
2026-09-10_16-17-33_636258.xlsx,Unshaped,500,[1.0],1.0,[0.0],0.0,130.1,128.8,0.99,32.4,33.5,False,32.4,3.4,3.845,0.49849,0.27318,0.55,0.27592,
2026-09-10_16-19-04_292991.xlsx,Unshaped,700,[1.0],1.0,[0.0],0.0,130.5,128.8,0.987,32.4,33.4,False,32.4,3.0,3.861,0.50001,0.18723,0.37,0.387,"the velocity-based residual prediction changes by 0.4x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend"
2026-09-10_16-20-10_651855.xlsx,Unshaped,900,[1.0],1.0,[0.0],0.0,129.2,129.2,1.0,32.4,33.5,False,32.4,3.5,3.853,0.50272,0.197,0.39,0.46397,"the velocity-based residual prediction changes by 0.4x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend"
2026-09-10_16-29-26_132651.xlsx,ZV,500,"[0.5, 0.5]",1.0,"[0.0, 0.84]",0.84,129.6,157.1,1.212,32.4,34.1,False,16.2,110.4,4.609,0.29475,0.60815,2.06,0.1521,"logged actual velocity sits at 34 deg/s while the logged command asks for 16 deg/s, i.e. the log shows the half-amplitude steps not being applied at all; crane travelled 157 deg against a commanded 130 deg (1.21x)"
2026-09-10_16-30-43_967278.xlsx,ZV,700,"[0.5, 0.5]",1.0,"[0.0, 0.848]",0.848,129.7,157.1,1.211,32.4,33.4,False,16.2,106.1,4.703,0.28326,0.62641,2.21,0.19724,"logged actual velocity sits at 33 deg/s while the logged command asks for 16 deg/s, i.e. the log shows the half-amplitude steps not being applied at all; crane travelled 157 deg against a commanded 130 deg (1.21x)"
2026-09-10_16-33-07_186392.xlsx,ZV,900,"[0.5, 0.5]",1.0,"[0.0, 0.84]",0.84,129.8,157.2,1.211,32.4,33.5,False,16.2,106.4,4.698,0.28556,0.59929,2.1,0.23579,"logged actual velocity sits at 34 deg/s while the logged command asks for 16 deg/s, i.e. the log shows the half-amplitude steps not being applied at all; crane travelled 157 deg against a commanded 130 deg (1.21x)"
2026-09-10_16-46-20_866691.xlsx,ZVD,500,"[0.25, 0.5, 0.5]",1.25,"[0.0, 0.84, 1.709]",1.709,162.6,143.7,0.884,40.5,33.6,True,8.1,4.1,4.282,0.00792,0.06887,8.7,0.02565,"command peaked at 40 deg/s but the crane only reached 34 deg/s - SLEW RATE SATURATED, so the shaper was not executed as designed; the velocity-based residual prediction changes by 8.7x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend; crane travelled 144 deg against a commanded 163 deg (0.88x)"
2026-09-10_16-47-51_867846.xlsx,ZVD,700,"[0.25, 0.5, 0.5]",1.25,"[0.0, 0.87, 1.716]",1.716,163.0,143.8,0.882,40.5,33.8,True,8.1,7.4,4.25,0.01168,0.07652,6.55,0.04011,"command peaked at 40 deg/s but the crane only reached 34 deg/s - SLEW RATE SATURATED, so the shaper was not executed as designed; the velocity-based residual prediction changes by 6.5x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend; crane travelled 144 deg against a commanded 163 deg (0.88x)"
2026-09-10_16-50-26_879158.xlsx,ZVD,900,"[0.25, 0.5, 0.5]",1.25,"[0.0, 0.839, 1.709]",1.709,162.7,144.0,0.885,40.5,33.9,True,8.1,4.0,4.248,0.00858,0.06081,7.09,0.05891,"command peaked at 40 deg/s but the crane only reached 34 deg/s - SLEW RATE SATURATED, so the shaper was not executed as designed; the velocity-based residual prediction changes by 7.1x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend; crane travelled 144 deg against a commanded 163 deg (0.89x)"
2026-09-10_16-53-35_974791.xlsx,Two-mode ZV,500,"[0.25, 0.25, 0.25, 0.25]",1.0,"[0.0, 0.27, 0.84, 1.11]",1.11,129.8,129.0,0.994,32.4,33.3,False,8.1,-16.5,3.876,0.01174,0.02579,2.2,0.07009,
2026-09-10_16-55-03_032999.xlsx,Two-mode ZV,700,"[0.25, 0.25, 0.25, 0.25]",1.0,"[0.0, 2.006, 2.246, 2.846]",2.846,82.3,83.9,1.019,32.4,33.2,False,32.4,2.3,2.532,0.3105,0.36973,1.19,0.09259,recording starts mid-move: move is short and the impulse delays could not be read back - amplitudes only
2026-09-10_16-56-12_839907.xlsx,Two-mode ZV,900,"[0.25, 0.25, 0.25, 0.25]",1.0,"[0.0, 0.27, 0.865, 1.135]",1.135,130.0,128.8,0.991,32.4,33.4,False,8.1,-20.9,3.863,0.02197,0.02896,1.32,0.14083,
