file,timestamp,shaper,n_impulses,impulse_amps,impulse_delays_s,impulse_amp_sum,shaper_duration_s,cmd_truncated,trolley_mm,trolley_nom_mm,cable_mm,move_t0,move_t1,move_dur_s,R_mass_ratio,w1_theory,w2_theory,f1_theory_hz,f2_theory_hz,T1_theory_s,T2_theory_s,cmd_area_deg,actual_travel_deg,cmd_peak_deg_s,actual_peak_deg_s,travel_over_cmd_area,rate_saturated,first_step_cmd_deg_s,first_step_overshoot_pct,tf_effective_s,pred_m1_from_velocity_rad,pred_m2_from_velocity_rad,resid_t0,resid_t1,resid_window_s,resid_cycles_available,vision_clock_offset_s,motion_dur_s,vision_dur_s,tan_amp_pp_rad,tan_rms_rad,tan_amp_pp_mm,tan_amp_pp_deg,tan_peak_pp_rad,tan_peak_pp_deg,tan_m1_amp_pp_rad,tan_m1_amp_pp_deg,tan_m1_rms_rad,tan_m1_f_meas_hz,tan_m1_f_err_pct,tan_m1_f_unreliable,tan_m2_amp_pp_rad,tan_m2_amp_pp_deg,tan_m2_rms_rad,tan_m2_f_meas_hz,tan_m2_f_err_pct,tan_m2_f_unreliable,rad_amp_pp_rad,rad_rms_rad,rad_amp_pp_mm,rad_amp_pp_deg,rad_peak_pp_rad,rad_peak_pp_deg,rad_m1_amp_pp_rad,rad_m1_amp_pp_deg,rad_m1_rms_rad,rad_m1_f_meas_hz,rad_m1_f_err_pct,rad_m1_f_unreliable,rad_m2_amp_pp_rad,rad_m2_amp_pp_deg,rad_m2_rms_rad,rad_m2_f_meas_hz,rad_m2_f_err_pct,rad_m2_f_unreliable,total_amp_pp_rad,pred_V1_theory_freq,pred_V2_theory_freq,pred_V1_meas_freq,pred_V2_meas_freq,pct_tan,pct_tan_m1,pct_tan_m2,pct_rad,pct_rad_m1,pct_rad_m2,pct_total,pred_m1_from_velocity_measfreq_rad,pred_m1_freq_sensitivity,pred_m2_from_velocity_measfreq_rad,pred_m2_freq_sensitivity,notes
2026-09-10_16-17-33_636258.xlsx,2026-09-10 16-17-33,Unshaped,1,[1.0],[0.0],1.0,0.0,False,501.3,500,598.7,1.9,6.09,4.2,1.398,3.6644,11.9764,0.5832,1.9061,1.7147,0.5246,130.1,128.8,32.4,33.5,0.99,False,32.4,3.4,3.845,0.49849,0.132,6.29,11.44,5.14,5.42,21.04,15.17,15.42,0.29764,0.08798,178.2,17.05,0.27942,16.01,0.27592,15.81,0.08881,0.5371,-7.9,False,0.03209,1.84,0.0096,1.6235,-14.8,False,0.14524,0.04513,87.0,8.32,0.16806,9.63,0.14592,8.36,0.0482,0.5371,-7.9,False,0.00759,0.43,0.00174,1.6602,-12.9,False,0.33119,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.27318,0.55,0.17431,1.32,
2026-09-10_16-19-04_292991.xlsx,2026-09-10 16-19-04,Unshaped,1,[1.0],[0.0],1.0,0.0,False,701.1,700,599.0,2.33,6.53,4.2,1.398,3.6636,11.9758,0.5831,1.906,1.715,0.5247,130.5,128.8,32.4,33.4,0.987,False,32.4,3.0,3.861,0.50001,0.12883,6.73,11.87,5.15,6.27,21.2,17.41,17.46,0.42884,0.12126,256.9,24.57,0.41284,23.65,0.387,22.17,0.1206,0.5249,-10.0,False,0.03861,2.21,0.00858,1.6113,-15.5,False,0.19555,0.05882,117.1,11.2,0.23008,13.18,0.19079,10.93,0.06254,0.5249,-10.0,False,0.01836,1.05,0.00508,1.6235,-14.8,False,0.47132,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.18723,0.37,0.17135,1.33,"the velocity-based residual prediction changes by 0.4x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend"
2026-09-10_16-20-10_651855.xlsx,2026-09-10 16-20-10,Unshaped,1,[1.0],[0.0],1.0,0.0,False,900.2,900,598.8,1.98,6.21,4.23,1.398,3.6641,11.9762,0.5832,1.9061,1.7148,0.5246,129.2,129.2,32.4,33.5,1.0,False,32.4,3.5,3.853,0.50272,0.12719,6.41,11.56,5.14,5.86,21.21,16.41,16.46,0.52294,0.1497,313.2,29.96,0.49585,28.41,0.46397,26.58,0.15194,0.5249,-10.0,False,0.04168,2.39,0.01112,1.6235,-14.8,False,0.24499,0.07508,146.7,14.04,0.28845,16.53,0.26098,14.95,0.0771,0.5249,-10.0,False,0.02021,1.16,0.00403,1.6357,-14.2,False,0.57748,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.197,0.39,0.17148,1.35,"the velocity-based residual prediction changes by 0.4x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend"
2026-09-10_16-29-26_132651.xlsx,2026-09-10 16-29-26,ZV,2,"[0.5, 0.5]","[0.0, 0.84]",1.0,0.84,False,499.8,500,597.7,2.0,7.04,5.03,1.398,3.6669,11.9785,0.5836,1.9064,1.7135,0.5245,129.6,157.1,32.4,34.1,1.212,False,16.2,110.4,4.609,0.29475,0.09868,7.24,12.38,5.14,6.23,21.09,17.63,17.78,0.19067,0.05215,114.0,10.92,0.19418,11.13,0.1521,8.71,0.0497,0.5371,-8.0,False,0.04819,2.76,0.0149,1.5869,-16.8,False,0.09525,0.03056,56.9,5.46,0.16614,9.52,0.10616,6.08,0.0311,0.5371,-8.0,False,0.01186,0.68,0.00266,1.6357,-14.2,False,0.21314,0.0307,0.3132,0.1528,0.5009,64.1,55.1,150.2,65.6,72.8,156.3,64.4,0.60815,2.06,0.14613,1.48,"logged actual velocity sits at 34 deg/s while the logged command asks for 16 deg/s, i.e. the log shows the half-amplitude steps not being applied at all; crane travelled 157 deg against a commanded 130 deg (1.21x)"
2026-09-10_16-30-43_967278.xlsx,2026-09-10 16-30-43,ZV,2,"[0.5, 0.5]","[0.0, 0.848]",1.0,0.848,False,699.8,700,596.0,5.17,10.3,5.13,1.398,3.6709,11.9818,0.5842,1.907,1.7116,0.5244,129.7,157.1,32.4,33.4,1.211,False,16.2,106.1,4.703,0.28326,0.09871,10.5,15.63,5.13,8.65,21.15,21.14,25.22,0.24225,0.06726,144.4,13.88,0.23479,13.45,0.19724,11.3,0.0656,0.531,-9.1,False,0.06362,3.64,0.01609,1.5808,-17.1,False,0.12713,0.04064,75.8,7.28,0.22147,12.69,0.14028,8.04,0.04081,0.5432,-7.0,False,0.01275,0.73,0.00276,1.6357,-14.2,False,0.27358,0.0143,0.3596,0.1555,0.4803,56.5,51.0,164.8,65.0,73.5,69.4,58.0,0.62641,2.21,0.14923,1.51,"logged actual velocity sits at 33 deg/s while the logged command asks for 16 deg/s, i.e. the log shows the half-amplitude steps not being applied at all; crane travelled 157 deg against a commanded 130 deg (1.21x)"
2026-09-10_16-33-07_186392.xlsx,2026-09-10 16-33-07,ZV,2,"[0.5, 0.5]","[0.0, 0.84]",1.0,0.84,False,889.8,900,597.1,1.91,7.04,5.13,1.398,3.6682,11.9796,0.5838,1.9066,1.7129,0.5245,129.8,157.2,32.4,33.5,1.211,False,16.2,106.4,4.698,0.28556,0.09567,7.24,12.37,5.14,10.26,21.08,21.08,24.66,0.28022,0.078,167.3,16.06,0.28554,16.36,0.23579,13.51,0.07659,0.5371,-8.0,False,0.07776,4.46,0.01709,1.6113,-15.5,False,0.16555,0.05394,98.9,9.49,0.28029,16.06,0.18876,10.81,0.05511,0.5493,-5.9,False,0.02267,1.3,0.00518,1.6663,-12.6,False,0.32547,0.0301,0.3136,0.1528,0.4442,53.6,50.8,186.6,67.6,72.3,112.2,56.4,0.59929,2.1,0.08572,0.9,"logged actual velocity sits at 34 deg/s while the logged command asks for 16 deg/s, i.e. the log shows the half-amplitude steps not being applied at all; crane travelled 157 deg against a commanded 130 deg (1.21x)"
2026-09-10_16-46-20_866691.xlsx,2026-09-10 16-46-20,ZVD,3,"[0.25, 0.5, 0.5]","[0.0, 0.84, 1.709]",1.25,1.709,False,499.6,500,597.9,2.16,8.04,5.89,1.398,3.6663,11.978,0.5835,1.9064,1.7137,0.5246,162.6,143.7,40.5,33.6,0.884,True,8.1,4.1,4.282,0.00792,0.04934,8.24,13.39,5.14,4.4,21.1,15.52,15.68,0.03771,0.00949,22.5,2.16,0.11697,6.7,0.02565,1.47,0.00744,0.4883,-16.3,False,0.02355,1.35,0.00758,1.5991,-16.1,False,0.04162,0.01027,24.9,2.38,0.04532,2.6,0.03472,1.99,0.01093,0.4639,-20.5,False,0.01036,0.59,0.00281,1.6602,-12.9,False,0.05616,0.2519,0.2687,0.1825,0.1136,12.7,9.3,73.4,28.7,23.8,136.5,17.0,0.06887,8.7,0.06792,1.38,"command peaked at 40 deg/s but the crane only reached 34 deg/s - SLEW RATE SATURATED, so the shaper was not executed as designed; the velocity-based residual prediction changes by 8.7x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend; crane travelled 144 deg against a commanded 163 deg (0.88x)"
2026-09-10_16-47-51_867846.xlsx,2026-09-10 16-47-51,ZVD,3,"[0.25, 0.5, 0.5]","[0.0, 0.87, 1.716]",1.25,1.716,False,700.6,700,596.8,3.7,9.53,5.83,1.398,3.669,11.9802,0.5839,1.9067,1.7125,0.5245,163.0,143.8,40.5,33.8,0.882,True,8.1,7.4,4.25,0.01168,0.04365,9.72,14.86,5.14,3.39,21.08,15.07,15.4,0.05736,0.01433,34.2,3.29,0.15077,8.64,0.03614,2.07,0.0108,0.4883,-16.4,False,0.03466,1.99,0.01132,1.5625,-18.1,False,0.0506,0.01344,30.2,2.9,0.05963,3.42,0.04479,2.57,0.01357,0.4517,-22.7,False,0.01225,0.7,0.00333,1.6479,-13.6,False,0.07649,0.2513,0.1169,0.2092,0.2847,13.4,9.3,89.8,25.9,23.5,66.7,16.2,0.07652,6.55,0.08077,1.85,"command peaked at 40 deg/s but the crane only reached 34 deg/s - SLEW RATE SATURATED, so the shaper was not executed as designed; the velocity-based residual prediction changes by 6.5x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend; crane travelled 144 deg against a commanded 163 deg (0.88x)"
2026-09-10_16-50-26_879158.xlsx,2026-09-10 16-50-26,ZVD,3,"[0.25, 0.5, 0.5]","[0.0, 0.839, 1.709]",1.25,1.709,False,900.2,900,597.5,1.73,7.61,5.88,1.398,3.6673,11.9788,0.5837,1.9065,1.7133,0.5245,162.7,144.0,40.5,33.9,0.885,True,8.1,4.0,4.248,0.00858,0.042,7.81,12.95,5.14,9.78,21.06,21.04,24.4,0.05703,0.01466,34.1,3.27,0.18033,10.33,0.05185,2.97,0.01584,0.5188,-11.1,False,0.03341,1.91,0.00947,1.593,-16.4,False,0.05356,0.01507,32.0,3.07,0.07557,4.33,0.04962,2.84,0.01561,0.5371,-8.0,False,0.01283,0.74,0.00251,1.6785,-12.0,False,0.07824,0.2522,0.2747,0.2128,0.1147,10.9,11.2,80.2,21.9,19.0,63.5,13.5,0.06081,7.09,0.07163,1.71,"command peaked at 40 deg/s but the crane only reached 34 deg/s - SLEW RATE SATURATED, so the shaper was not executed as designed; the velocity-based residual prediction changes by 7.1x between the model and the measured mode-1 frequency - do not quote it as a number for this trial, only as a trend; crane travelled 144 deg against a commanded 163 deg (0.89x)"
2026-09-10_16-53-35_974791.xlsx,2026-09-10 16-53-35,Two-mode ZV,4,"[0.25, 0.25, 0.25, 0.25]","[0.0, 0.27, 0.84, 1.11]",1.0,1.11,False,499.7,500,597.0,4.57,9.71,5.14,1.398,3.6687,11.9799,0.5839,1.9067,1.7127,0.5245,129.8,129.0,32.4,33.3,0.994,False,8.1,-16.5,3.876,0.01174,0.01231,9.91,15.05,5.14,7.89,21.05,21.04,23.26,0.07205,0.0201,43.0,4.13,0.12534,7.18,0.07009,4.02,0.02298,0.5249,-10.1,False,0.00608,0.35,0.0015,1.5991,-16.1,False,0.0535,0.0151,31.9,3.07,0.06057,3.47,0.05104,2.92,0.01619,0.5249,-10.1,False,0.00229,0.13,0.00057,1.5808,-17.1,False,0.08974,0.0264,0.0146,0.1666,0.1006,24.2,25.4,18.9,36.8,35.0,30.2,27.1,0.02579,2.2,0.02541,2.06,
