epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.79438,0.75517,0.42857,1,0.7791,0.00010002,0.00010002,0.00010002
2,5.50169,0.45369,0.92857,1,0.2934,0.000212419,0.000212419,0.000212419
3,8.13407,0.29909,1,1,0.09363,0.000320197,0.000320197,0.000320197
4,10.7733,0.22471,1,1,0.03485,0.000423355,0.000423355,0.000423355
5,13.2846,0.19553,1,1,0.01593,0.000521891,0.000521891,0.000521891
6,15.6761,0.20166,1,1,0.03903,0.000615806,0.000615806,0.000615806
7,18.0791,0.26592,1,1,0.02708,0.000705101,0.000705101,0.000705101
8,20.4174,0.22338,1,1,0.01092,0.000789775,0.000789775,0.000789775
9,22.7916,0.32355,1,1,0.06465,0.000869827,0.000869827,0.000869827
10,25.1727,0.14124,1,1,0.02417,0.000945259,0.000945259,0.000945259
11,27.4773,0.18921,1,1,0.00648,0.00101607,0.00101607,0.00101607
12,29.8814,0.15108,1,1,0.02452,0.00108226,0.00108226,0.00108226
13,32.1794,0.12214,1,1,0.03635,0.00114383,0.00114383,0.00114383
