Run Name,Parameter,Value,Uncertainty
Counter Flow 1 (Equal),Q_hot Counter Flow 1 (Equal),3.9891,0.3985
Counter Flow 1 (Equal),Q_cold Counter Flow 1 (Equal),3.9117,0.3375
Counter Flow 1 (Equal),mdot_hot Counter Flow 1 (Equal),6.5452e-02,6.5385e-03
Counter Flow 1 (Equal),mdot_cold Counter Flow 1 (Equal),6.4923e-02,5.6013e-03
Counter Flow 1 (Equal),q_h Counter Flow 1 (Equal),4704.1648,470.0727
Counter Flow 1 (Equal),q_c Counter Flow 1 (Equal),4504.3011,388.6607
Counter Flow 1 (Equal),LMTD Counter Flow 1 (Equal),31.8107,0.0239
Counter Flow 1 (Equal),UA Counter Flow 1 (Equal),141.5972,12.2184
Counter Flow 2 (Unequal),Q_hot Counter Flow 2 (Unequal),3.9815,0.3976
Counter Flow 2 (Unequal),Q_cold Counter Flow 2 (Unequal),6.9629,0.7062
Counter Flow 2 (Unequal),mdot_hot Counter Flow 2 (Unequal),6.5373e-02,6.5276e-03
Counter Flow 2 (Unequal),mdot_cold Counter Flow 2 (Unequal),0.1156,0.0117
Counter Flow 2 (Unequal),q_h Counter Flow 2 (Unequal),5846.3945,583.8636
Counter Flow 2 (Unequal),q_c Counter Flow 2 (Unequal),5810.0880,589.3067
Counter Flow 2 (Unequal),LMTD Counter Flow 2 (Unequal),30.0368,0.0189
Counter Flow 2 (Unequal),UA Counter Flow 2 (Unequal),193.4322,19.6199
Parallel Flow 1 (Equal),Q_hot Parallel Flow 1 (Equal),4.0666,0.4081
Parallel Flow 1 (Equal),Q_cold Parallel Flow 1 (Equal),4.0425,0.3507
Parallel Flow 1 (Equal),mdot_hot Parallel Flow 1 (Equal),6.6695e-02,6.6936e-03
Parallel Flow 1 (Equal),mdot_cold Parallel Flow 1 (Equal),6.7060e-02,5.8177e-03
Parallel Flow 1 (Equal),q_h Parallel Flow 1 (Equal),4315.9562,433.3287
Parallel Flow 1 (Equal),q_c Parallel Flow 1 (Equal),4053.3869,351.7270
Parallel Flow 1 (Equal),LMTD Parallel Flow 1 (Equal),28.6665,0.0286
Parallel Flow 1 (Equal),UA Parallel Flow 1 (Equal),141.3978,12.2704
Parallel Flow 2 (Unequal),Q_hot Parallel Flow 2 (Unequal),4.0264,0.4031
Parallel Flow 2 (Unequal),Q_cold Parallel Flow 2 (Unequal),6.9462,0.7038
Parallel Flow 2 (Unequal),mdot_hot Parallel Flow 2 (Unequal),6.6083e-02,6.6162e-03
Parallel Flow 2 (Unequal),mdot_cold Parallel Flow 2 (Unequal),0.1153,0.0117
Parallel Flow 2 (Unequal),q_h Parallel Flow 2 (Unequal),5455.9265,546.2983
Parallel Flow 2 (Unequal),q_c Parallel Flow 2 (Unequal),5618.9384,569.3519
Parallel Flow 2 (Unequal),LMTD Parallel Flow 2 (Unequal),28.2989,0.0169
Parallel Flow 2 (Unequal),UA Parallel Flow 2 (Unequal),198.5567,20.1196
